π1,π2,π3,p*
0.5472456576,0.6876359033,0.4849704391,0.8751807735
0.4702859206,0.6395393115,0.5497290568,0.8476658076
0.3935137126,0.4877314447,0.4407826665,0.8080222032
0.7227349164,0.9948097546,0.6402063008,1.0000000000
0.5435739789,0.5344432728,0.5145478338,0.8439297767
0.5316588665,0.7643438507,0.5343841528,0.8861316318
0.6734762570,0.7799576405,0.5502286209,0.9294451808
0.7397539198,0.7410029078,0.6826803590,0.9377779926
0.6378893383,1.0054751523,0.7868287669,0.9717337988
0.6089565516,0.9032156389,0.6427495416,0.9384552270
0.5715613262,0.7860554470,0.5852870684,0.9017609750
0.5772078413,0.9366162446,0.6203278468,0.9350324616
0.4511751027,0.7000894152,0.4616668310,0.8531646827
0.6852068738,0.7314161722,0.5947671614,0.9206626303
0.5129924540,0.5848526135,0.5484740802,0.8473957711
0.4821662858,0.5056262441,0.4906680169,0.8269145416
0.4652523401,0.6791739069,0.5039254558,0.8532099715
0.3927575741,0.6401753325,0.4856459029,0.8296965765
0.5953121247,0.6615751538,0.5972035204,0.8815689083
0.5225245715,0.5967327466,0.5285210589,0.8516875210
0.4632787414,0.5861844582,0.5426959120,0.8370299814
0.6373818080,0.7812260945,0.5375402246,0.9194853537
0.4034893123,0.7207529931,0.5305331836,0.8440414813
0.5286752508,0.7816188813,0.5208374538,0.8886275841
0.6764045768,0.6881237901,0.6041765153,0.9076512720
0.7606372071,0.8266189277,0.5998365756,0.9671352727
0.5634215460,0.6183191424,0.5666341639,0.8650068484
0.8170137352,0.8362769559,0.6966606007,0.9869840239
0.5842300801,0.6707878789,0.6884065464,0.8808588994
0.6223609718,0.9910466584,0.7225672339,0.9627758438
0.5552528434,0.7465278353,0.5746007750,0.8890971506
0.5995808474,0.6947079968,0.5018915970,0.8898336226
0.6175919397,0.8106215224,0.6779174348,0.9204666401
0.6393776278,0.7010147803,0.7290570355,0.9013727880
0.6433272668,0.8549268121,0.6979784493,0.9384474498
0.5889648235,0.7746197225,0.7286064367,0.9042906206
0.7474533376,0.8827947788,0.7987523144,0.9784599819
0.6402176202,0.8653280262,0.6582025245,0.9399046249
0.4782958705,0.7534823012,0.6304924543,0.8693825938
0.4292639077,0.6095835033,0.5383105089,0.8334259083
0.7207714925,0.8734349988,0.7436812998,0.9674230037
0.5612861927,0.8223766345,0.5362784509,0.9062447596
0.3967494567,0.6157983955,0.5329734408,0.8271045874
0.6326410551,0.8742643295,0.6690874420,0.9395758045
0.6673887663,0.7670117829,0.6750843489,0.9245686845
0.6242291378,0.8045223816,0.5261084823,0.9210395976
0.5878698859,0.7045615526,0.7267192616,0.8889801605
0.7640602888,0.8785582948,0.7117483787,0.9826209875
0.4728777130,0.6111199757,0.4905775140,0.8433745050
0.6607181121,0.6833999374,0.6262897366,0.9025826504
0.5814364865,0.6561606587,0.4412868362,0.8770784921
0.4952789565,0.6750117796,0.5327146005,0.8598872932
0.5775136524,0.7641910286,0.6432003563,0.8988658929
0.5151227274,0.6835699865,0.4822194203,0.8663720836
0.5697137218,0.7976502265,0.6651935549,0.9036380772
0.4227408391,0.6702652487,0.5148759121,0.8413214217
0.6703192500,0.8253569304,0.7855932909,0.9396330388
0.4609822686,0.4437013246,0.3364834653,0.8126151434
0.7008508401,0.9153467617,0.5857264310,0.9717846721
0.5601045420,0.7590241132,0.6021757422,0.8929658664
0.7319723881,0.8695976234,0.6545944621,0.9699634044
0.6906476669,0.9779513397,0.6551918396,0.9841319934
0.6323025466,0.8308886138,0.6722257091,0.9294779755
0.6393316209,0.6632894704,0.6126491511,0.8925757872
0.3541379814,0.5264652933,0.4553418712,0.8060233444
0.4473896278,0.7001658502,0.4002541115,0.8522118233
0.5183780305,0.7378886789,0.6113072421,0.8774389257
0.6441135005,0.8293939376,0.7350581510,0.9327018643
0.6730617268,0.9656212699,0.7868253120,0.9748447691
0.4321812198,0.4996405506,0.4421690866,0.8167663941
0.3903691975,0.5052669863,0.4831034956,0.8099569550
0.6337353754,0.7229967277,0.6204592758,0.9050063046
0.4970423247,0.8098660297,0.4916795554,0.8847356606
0.5409638241,0.9918066002,0.6853086251,0.9335424208
0.4309443002,0.5365365970,0.4487811794,0.8223328536
0.5088868675,0.6973162082,0.5837680368,0.8673674325
0.5522949153,0.7798804935,0.5351271556,0.8950024328
0.4615549491,0.5622896494,0.4342593742,0.8326447359
0.4104209370,0.5073620674,0.4963095745,0.8139605138
0.5301797265,0.6595631183,0.4662332949,0.8654849825
0.5747190098,0.5827550676,0.6094771580,0.8601063093
0.6401118411,0.7492879474,0.5843221724,0.9128155600
0.4595060593,0.6406378464,0.4502312644,0.8453385055
0.7442408696,0.8791397773,0.6251168977,0.9764361737
0.6133168552,0.6635642269,0.6026394288,0.8863519789
0.6015122361,0.7069273961,0.5644137050,0.8929996048
0.4086233757,0.5359657556,0.4989673183,0.8178856773
0.4515943209,0.6610561146,0.4754574718,0.8468509349
0.6408055397,0.7545313132,0.6032680021,0.9142287480
0.5674716929,0.5481132323,0.5531941527,0.8514074961
0.6258665880,0.8359729726,0.6731778513,0.9286892237
0.7213456572,0.7946224324,0.6727442492,0.9468978614
0.5279533451,0.8563313850,0.5561381364,0.9027896526
0.6459065396,0.9340597538,0.6903366718,0.9578681849
0.4250969240,0.6514089731,0.4582500524,0.8389769341
0.4498236366,0.5970881608,0.3993777938,0.8359436419
0.5276139924,0.7177005655,0.6445031627,0.8760415236
0.6045142748,0.8504067958,0.7463845234,0.9253656557
0.5011170828,0.7232956988,0.6021150360,0.8701359856
0.5380638643,0.7373432378,0.5487656616,0.8826230525
