p1,p2,p3,p4,p5,p6,p7,π1,p*
0.9294446336,0.6452181195,0.7472985718,0.5024390199,0.8183902039,0.5409179606,0.6714902348,0.3714013199,2.3714013199
0.6863555775,0.6941835965,0.7880188408,0.5117045312,0.5299138817,0.6062869840,0.8725615911,0.2968464069,2.2968464069
0.7775643890,0.5636527428,0.5245740319,0.6324206312,0.8424709072,0.8220534209,0.9293778474,0.1894275757,2.1894275757
0.9778282745,0.6064057546,0.9783917668,0.7483287090,0.8174177383,0.6035777563,0.5716803574,0.7096131357,2.7096131357
0.8683347990,0.8775268432,0.5825907269,0.6780736691,0.9242371801,0.9997614974,0.8627325187,0.2867232086,2.2867232086
0.9081025696,0.7894353423,0.5378718806,0.9075613739,0.9728276139,0.5146407637,0.8698694370,0.4010739095,2.4010739095
0.5505432802,0.8159158535,0.8709432885,0.7386083214,0.9842871274,0.6350986657,0.5764241295,0.5184368709,2.5184368709
0.9642440352,0.9787812021,0.7993438003,0.5720355934,0.9712976952,0.6594620389,0.9869106410,0.5410155672,2.5410155672
0.8045545845,0.5471266825,0.9230340021,0.9270245062,0.7528048762,0.6097945085,0.9308380562,0.6330226657,2.6330226657
0.7982767181,0.5638634427,0.9289403685,0.8208304200,0.6709748542,0.6894686046,0.6482154646,0.5428506103,2.5428506103
0.5458920674,0.7033377653,0.9504692248,0.6446693421,0.6275688804,0.5885604182,0.6627803466,0.4434233832,2.4434233832
0.6725931217,0.6113597061,0.8021365102,0.9859851921,0.7671064995,0.5543268228,0.6961883188,0.5335762403,2.5335762403
0.8313762616,0.7657972335,0.5866256574,0.7760686707,0.5852981914,0.5728364047,0.6442999607,0.3117462311,2.3117462311
0.7208567442,0.9152894876,0.9142499282,0.7205046752,0.6686745264,0.9737963875,0.5575169052,0.4946395566,2.4946395566
0.7757438932,0.8021077644,0.6322476064,0.7324399983,0.7406024309,0.9325250223,0.8728569124,0.2961147126,2.2961147126
0.8518562457,0.5926947417,0.6515741067,0.5473847707,0.8747967497,0.9812850638,0.8631024311,0.2406185040,2.2406185040
0.7947006157,0.6906542665,0.5619312527,0.7701390075,0.8287460455,0.5406198461,0.8852058937,0.3118689464,2.3118689464
0.5249663797,0.6417332745,0.6221160406,0.7418309067,0.5991497380,0.5363977941,0.8493161134,0.2481567422,2.2481567422
0.7808959200,0.8516562270,0.7929857978,0.5697833905,0.7150508499,0.7351569274,0.8498871647,0.3887106939,2.3887106939
0.8831792362,0.6268989705,0.6306255902,0.7175595184,0.9480584368,0.9015043740,0.8434753211,0.3077436945,2.3077436945
0.9554541648,0.8806955035,0.6027944962,0.6402399881,0.5060031332,0.8256987333,0.9197830715,0.2680274325,2.2680274325
0.5464549734,0.6385269591,0.9482549613,0.6669185208,0.9531197675,0.6154162118,0.5551201850,0.4914495926,2.4914495926
0.9512606951,0.5225604086,0.5467229270,0.8781827905,0.6420061084,0.5725817836,0.9528395947,0.2870258849,2.2870258849
0.7304802029,0.9712777534,0.6044545659,0.8839668558,0.6892469427,0.5155625689,0.7030148715,0.4078369745,2.4078369745
0.7260092348,0.7581196171,0.8477504856,0.6963817964,0.9629410792,0.9252061516,0.7110475676,0.4593838093,2.4593838093
0.9997127435,0.8705939402,0.8588583551,0.7267786109,0.8660727935,0.7937583948,0.5615011891,0.6205624390,2.6205624390
0.5812118718,0.7992051652,0.7823917133,0.5233115533,0.8843667905,0.6139488966,0.9463047847,0.3438339190,2.3438339190
0.8546852921,0.9974690271,0.9735352617,0.6804368541,0.7976359953,0.8115913734,0.6731542329,0.6743448759,2.6743448759
0.5803120386,0.5797922351,0.9841698137,0.6444691763,0.7295552338,0.9615643248,0.9209252997,0.3867868446,2.3867868446
0.9053883840,0.7088062348,0.8182568559,0.9180631913,0.6413646910,0.5648581687,0.8436290694,0.6087500730,2.6087500730
0.5175735873,0.7496761985,0.7431471368,0.8293463728,0.8773047218,0.5899020287,0.7963202387,0.4091093181,2.4091093181
0.7674433644,0.8412574322,0.7955079385,0.5132070656,0.7879004632,0.5553115273,0.6350849463,0.4111048725,2.4111048725
0.5832500615,0.8717814693,0.7479797404,0.8962797140,0.8759112377,0.5958994344,0.9681174018,0.4941084989,2.4941084989
0.6542051900,0.5228543621,0.9932088989,0.6635279058,0.9399251060,0.9703833425,0.9898490734,0.4423715464,2.4423715464
0.5225312064,0.7829996018,0.9225428814,0.8012787137,0.7812989922,0.5961506356,0.8498897212,0.5428295371,2.5428295371
0.6192880632,0.9760384040,0.7868075921,0.9536745600,0.5490313233,0.8515364188,0.9349034446,0.4502777441,2.4502777441
0.8374172649,0.9334476600,0.9104823895,0.9582116179,0.6536234142,0.9761222542,0.8016201941,0.6512480198,2.6512480198
0.8911913748,0.6029928769,0.9269108083,0.7150993387,0.7185794603,0.6919257535,0.7151564632,0.5467779180,2.5467779180
0.8476008173,0.8056123077,0.6204811043,0.9696679193,0.5028473054,0.7290019405,0.9480390540,0.3556904961,2.3556904961
0.6644772247,0.7109548006,0.6193466914,0.8979684725,0.5293234928,0.9419832501,0.8173349334,0.2582617888,2.2582617888
0.7470159332,0.7251377318,0.9372121945,0.9782538618,0.7836912115,0.9683427718,0.7267156394,0.6213420787,2.6213420787
0.7620606814,0.5220026403,0.9008323222,0.6683359372,0.7151128036,0.5992184805,0.5630477221,0.4555727049,2.4555727049
0.6492706226,0.5034229171,0.6622136089,0.7440426226,0.5912614242,0.7466081965,0.9260737959,0.2411334546,2.2411334546
0.7315540701,0.7541751892,0.8188692468,0.8946386202,0.7493138562,0.6596758785,0.7747663236,0.5458869418,2.5458869418
0.9923921463,0.6944213474,0.8917879966,0.6868796824,0.7164123868,0.9194340466,0.7642770305,0.5052234524,2.5052234524
0.7505674605,0.7891779178,0.8822491563,0.5719887286,0.7149152790,0.5190615748,0.5586690148,0.4956609921,2.4956609921
0.6990362234,0.5782662020,0.9853404035,0.6378445411,0.6476551987,0.9500781762,0.9706156332,0.4087923204,2.4087923204
0.8639526584,0.9466941004,0.9036000419,0.7457880919,0.7814080218,0.7054900648,0.7544260229,0.6625227351,2.6625227351
0.9316654852,0.5055484649,0.6290812728,0.6881563228,0.8847299400,0.7989141796,0.7790113270,0.2852186370,2.2852186370
0.5130847686,0.8817380886,0.9876316833,0.6331879881,0.7248099427,0.8811014143,0.6967368296,0.4456498055,2.4456498055
0.6450085905,0.8865286306,0.7589440137,0.5511245141,0.8348080470,0.5830497049,0.5181863242,0.3765434033,2.3765434033
0.8945345971,0.7863961100,0.5677397402,0.7836152151,0.7619460449,0.6350364582,0.8889461586,0.3299619049,2.3299619049
0.7285598347,0.9907449945,0.7435663541,0.8626165438,0.5429504528,0.7758486782,0.7931018615,0.4355788307,2.4355788307
0.5034642402,0.5043386631,0.7960839458,0.9209763460,0.8951906744,0.8998264806,0.5106168766,0.3475331780,2.3475331780
0.7096677284,0.5701004658,0.7559554029,0.9979685685,0.8760184260,0.7892508260,0.8879334121,0.4485096040,2.4485096040
0.6653373819,0.6068094643,0.6297028496,0.9029187264,0.5778505079,0.7460274656,0.7540958666,0.2796555757,2.2796555757
0.8020760638,0.7336600181,0.9855978305,0.6736573754,0.6401425405,0.7735367056,0.9708747682,0.5460420246,2.5460420246
0.6623104183,0.9040562226,0.5041059177,0.6351594174,0.9874369494,0.9468722717,0.5075717295,0.2018726669,2.2018726669
0.9906255403,0.8005977854,0.7458299781,0.9433212103,0.9137302855,0.6596527976,0.5704984141,0.6331605127,2.6331605127
0.7941159754,0.7067803621,0.6344183197,0.9686003416,0.9277332966,0.6969759306,0.8830569197,0.4195920412,2.4195920412
0.5655459742,0.6845103372,0.9800997643,0.9902137936,0.9677108462,0.8844683367,0.5734511388,0.6282255818,2.6282255818
0.7604888518,0.8442628699,0.8170492544,0.9783064447,0.7971511246,0.5798522352,0.6601233756,0.6666169765,2.6666169765
0.6789892001,0.8108015155,0.8241569358,0.9655218699,0.6907441263,0.8137852458,0.7347728103,0.5185257317,2.5185257317
0.5074999887,0.8946154864,0.9226953809,0.6425342156,0.7611035715,0.8528701297,0.7367502429,0.4185350776,2.4185350776
0.5482149533,0.5428195910,0.5073852039,0.9408166620,0.7349442473,0.8564605285,0.8994750365,0.1840114417,2.1840114417
0.8921173933,0.5258344623,0.5184773657,0.9411321690,0.9950708159,0.5901211790,0.5489211767,0.3091643509,2.3091643509
0.7135015222,0.6944152404,0.6521680472,0.9647300229,0.7660973395,0.7271422107,0.9150662839,0.3775200388,2.3775200388
