lgπ1,lgπ2,lgπ3,p*
-0.1740470336,-0.1650127983,-0.2166968621,0.8751807735
-0.2398673807,-0.1965040976,-0.1622634366,0.8476658076
-0.3172694871,-0.3141905866,-0.2581876217,0.8080222032
-0.0532503211,-0.0046313075,-0.0960921855,1.0000000000
-0.1769706990,-0.2744697278,-0.1909863753,0.8439297767
-0.1865962967,-0.1190825667,-0.1745585589,0.8861316318
-0.0839070682,-0.1103003258,-0.1618689525,0.9294451808
-0.0431420826,-0.1325514304,-0.0681947213,0.9377779926
-0.1074840143,0.0000000000,-0.0065319000,0.9717337988
-0.1276430504,-0.0465798940,-0.0943703540,0.9384552270
-0.1551665225,-0.1069181611,-0.1350432008,0.9017609750
-0.1508971354,-0.0308096567,-0.1097908523,0.9350324616
-0.2578842319,-0.1572178311,-0.2380834563,0.8531646827
-0.0764076467,-0.1382067839,-0.1280651475,0.9206626303
-0.2021183809,-0.2353249077,-0.1632560210,0.8473957711
-0.2290325175,-0.2985417351,-0.2116243792,0.8269145416
-0.2445407915,-0.1703903502,-0.2000458322,0.8532099715
-0.3181047888,-0.1960724069,-0.2160924003,0.8296965765
-0.1374846298,-0.1817921562,-0.1262897704,0.8815689083
-0.1941226399,-0.2265914716,-0.1793498331,0.8516875210
-0.2463869857,-0.2343370430,-0.1678555794,0.8370299814
-0.1078296939,-0.1095946015,-0.1720011611,0.9194853537
-0.3063973222,-0.1445848880,-0.1776995764,0.8440414813
-0.1890403777,-0.1093763007,-0.1857099224,0.8886275841
-0.0820228202,-0.1647047699,-0.1212482896,0.9076512720
-0.0310517923,-0.0850659972,-0.1243791858,0.9671352727
-0.1613959067,-0.2111586507,-0.1491093738,0.8650068484
0.0000000000,-0.0800212129,-0.0593908796,0.9869840239
-0.1456454441,-0.1757861363,-0.0645671379,0.8808588994
-0.1181870075,-0.0062772411,-0.0435338657,0.9627758438
-0.1677385665,-0.1293253370,-0.1430459221,0.8890971506
-0.1343816061,-0.1605690445,-0.2018022050,0.8898336226
-0.1215277384,-0.0935532123,-0.0712353262,0.9204666401
-0.1064719217,-0.1566441678,-0.0396506242,0.9013727880
-0.1037973988,-0.0704424050,-0.0585701159,0.9384474498
-0.1421400008,-0.1132827923,-0.0399191260,0.9042906206
-0.0386452722,-0.0565115867,0.0000000000,0.9784599819
-0.1059017350,-0.0651905728,-0.0840525859,0.9399046249
-0.2325327264,-0.1252982871,-0.1027322362,0.8693825938
-0.2795049830,-0.2173381371,-0.1713792713,0.8334259083
-0.0544317564,-0.0611407524,-0.0310252684,0.9674230037
-0.1630449988,-0.0873005800,-0.1730217833,0.9062447596
-0.3137130170,-0.2129327896,-0.1757065618,0.8271045874
-0.1110719858,-0.0607285833,-0.0769292508,0.9395758045
-0.0878504655,-0.1175693069,-0.0730540901,0.9245686845
-0.1168853209,-0.0968332120,-0.1813368257,0.9210395976
-0.1429481440,-0.1544524022,-0.0410454583,0.8889801605
-0.0291017294,-0.0586007592,-0.0500856430,0.9826209875
-0.2374805118,-0.2162448629,-0.2117044914,0.8433745050
-0.0922131455,-0.1676964079,-0.1056368348,0.9025826504
-0.1477270764,-0.1853611547,-0.2576911571,0.8770784921
-0.2173794817,-0.1730599909,-0.1759175296,0.8598872932
-0.1506671023,-0.1191694077,-0.0940658532,0.8988658929
-0.2003186462,-0.1675883567,-0.2191674329,0.8663720836
