Solution_Index,R2,MSE,Feature_Importances
0,0.9920464673417299,3314.8085089359665,"0.023559406178935493,0.1114749118793217,0.8424533994682958,0.022512282473447144"
1,0.9898502731697119,4064.839845731535,"0.042418762398055296,0.08841395558111859,0.8290740889892015,0.04009319303162472"
2,0.9898880038879639,4053.8511977804887,"0.04293343004718004,0.09126762434813251,0.825428740576229,0.040370205028458485"
3,0.9955476611394419,1783.1065515072132,"0.05275419882931248,0.09412719799736634,0.8177940168914596,0.035324586281861615"
4,0.9867803023199647,5299.713991258294,"0.04344811020454603,0.08329383407274035,0.8303519086649903,0.04290614705772342"
5,0.9901601964872445,3940.7193968472393,"0.025850924013293575,0.13184083624909745,0.8121355762860082,0.030172663451600804"
6,0.9934026230264815,2642.1677398492266,"0.03396662441760585,0.12583771050738127,0.8085938987983304,0.03160176627668241"
7,0.9880564313827748,4783.251256639697,"0.0,0.1381860207300663,0.817760811092689,0.0440531681772446"
8,0.9884708204895347,4617.293553446329,"0.0,0.13972269167046414,0.8173342694322283,0.04294303889730753"
9,0.9886823073747446,4532.595676131509,"0.0,0.14006226922983842,0.8175755693942812,0.04236216137588045"
10,0.989205856381925,4322.920785253677,"0.0,0.141659851337807,0.8167930514445411,0.04154709721765198"
11,0.9884444400963137,4627.85857409209,"0.0,0.14274331298405818,0.8157161084762647,0.041540578539677186"
12,0.9939514406193561,2520.261412258628,"0.02229949087772205,0.13609631544893755,0.814385807608702,0.027218386064638306"
13,0.993725543687602,2615.0167563161176,"0.022463154079528057,0.1362814972686074,0.8141153173827985,0.02714003126906606"
14,0.993725543687602,2615.0167563161176,"0.022463154079528057,0.1362814972686074,0.8141153173827985,0.02714003126906606"
15,0.9941646812131533,2431.410165828965,"0.02232163827328091,0.1379262644912442,0.8140788712338138,0.025673226001661033"
16,0.9922932823123001,3211.9429773877628,"0.0,0.14349936390418447,0.8193697540615404,0.03713088203427505"
17,0.9939677980720683,2514.0519486691924,"0.02467962535014198,0.13494096615184467,0.8125579424756292,0.027821466022384084"
18,0.9941456965702751,2439.9088627072765,"0.021530310932997242,0.137502622971347,0.8151604665286001,0.0258065995670557"
19,0.993427998479172,2739.0252228773556,"0.022266837224344162,0.1472943277780655,0.805918153657063,0.024520681340527244"
20,0.9940655795531183,2469.8484876995954,"0.020146487661702815,0.14933802758500928,0.8060798798402266,0.024435604913061452"
21,0.9948746118882482,2136.117478158359,"0.02353440450350723,0.14496977378847087,0.8074206278626206,0.024075193845401195"
22,0.9948746118882482,2136.117478158359,"0.02353440450350723,0.14496977378847087,0.8074206278626206,0.024075193845401195"
23,0.9940702755228557,2467.8940704388206,"0.021258346159562493,0.15056515901038725,0.8048251499688,0.023351344861250265"
24,0.9935536929617976,2682.8907442709815,"0.0202441265693019,0.15204071818479664,0.8021082847587166,0.02560687048718472"
25,0.9935742498033582,2678.071788135217,"0.022062647259616444,0.15552556011480978,0.8007266436426639,0.021685148982909963"
26,0.9934471993283809,2731.022849457752,"0.02202746760140994,0.1553589169320785,0.80116542765286,0.02144818781365141"
27,0.9935185028035444,2701.305568301867,"0.022225069862093747,0.15526876446573865,0.8011808490309026,0.021325316641265076"
28,0.992617106535771,3076.982157148368,"0.0,0.16429776425576573,0.8058271452698973,0.029875090474337052"
29,0.9932454487847063,2815.106796502304,"0.0,0.16639712156501613,0.804230010636668,0.02937286779831591"
30,0.9933750708493734,2658.8974846975207,"0.0,0.17575247946360092,0.796611617375104,0.02763590316129507"
31,0.9921489156383353,3272.110942973172,"0.020911003887825342,0.15593278445176795,0.7966665166780582,0.026489694982348506"
32,0.9911908690272581,3670.5125086778326,"0.0,0.16225783444650663,0.801862807586869,0.03587935796662437"
33,0.9941374206693538,2439.948908814485,"0.02096772641720978,0.17044709598894586,0.7887726889864318,0.019812488607412637"
34,0.9937495195599932,2605.024287657689,"0.02297909604771618,0.16992599076754977,0.7881468835624841,0.018948029622250052"
35,0.9939538279989206,2519.874281880081,"0.02309265759970449,0.16938511737605916,0.7888500408008435,0.018672184223392885"
36,0.9928709531506719,2971.1860341937286,"0.0,0.17776623122871055,0.7937018439360115,0.028531924835277996"
37,0.9929203018138203,2950.618900627117,"0.0,0.17869663867227006,0.7929845073337823,0.0283188539939477"
38,0.9939692556106566,2513.444487617313,"0.022110999070160297,0.1724306105989697,0.786634519131196,0.018823871199674033"
39,0.9935844685937721,2673.8128839638466,"0.0,0.18817741277464498,0.7855137716519099,0.02630881557344496"
40,0.9934714088148904,2720.9330170113894,"0.0,0.18737775054809042,0.7853704501257678,0.0272517993261419"
41,0.9904875039058821,3964.5405820034666,"0.0,0.1853265566146093,0.7701557042072809,0.04451773917810993"
42,0.9936716397455346,2637.4824018986933,"0.0,0.20456137965907156,0.7561470356380486,0.039291584702879814"
43,0.9938965586874235,2543.7425187011054,"0.0,0.20577564171067897,0.755413081926759,0.03881127636256179"
44,0.9939073953749656,2539.226092401456,"0.0,0.20519531399865223,0.7556279869886502,0.0391766990126974"
45,0.9880697635745682,12697.585884610146,"0.07809415951356456,0.20623264540837322,0.7156731950780623,0.0"
46,0.9793733301291587,21953.371488950026,"0.09982929403538257,0.14948060630773538,0.7506900996568822,0.0"
47,0.9799858733589032,21301.429650552167,"0.10094717373120218,0.1491587723840382,0.7498940538847596,0.0"
48,0.9790634383824032,22283.195385899202,"0.09870410612598879,0.15316444896400613,0.748131444910005,0.0"
49,0.9752072381707697,26387.425313068903,"0.10101344051772157,0.1588414745088071,0.7401450849734714,0.0"
