solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
0,3,294216.84536027553,0.03929858301564548,1101,3,\frac{Heated Length^{6.88} \cdot Pressure^{2.66} \cdot g^{0.44}}{Tube Diameter^{6.44} \cdot Mass Flux^{1.66} \cdot Outlet Quality^{0.34} \cdot Inlet Subcooling^{0.77}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.05}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{7.72} \cdot g^{7.42}},\frac{Tube Diameter^{0.39} \cdot Mass Flux^{1.81} \cdot Inlet Subcooling^{2.48}}{Heated Length^{1.47} \cdot Pressure^{0.81} \cdot Outlet Quality^{1.41} \cdot g^{1.08}},,,,,,,,1
1,3,299684.65764927084,0.0001246899700767523,1101,3,\frac{Heated Length^{6.85} \cdot Pressure^{2.62} \cdot g^{0.45}}{Tube Diameter^{6.4} \cdot Mass Flux^{1.62} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.76}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.03}}{Tube Diameter^{7.32} \cdot Heated Length^{0.09} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.55} \cdot g^{7.41}},\frac{Tube Diameter^{0.58} \cdot Mass Flux^{2.04} \cdot Inlet Subcooling^{2.64}}{Heated Length^{1.7} \cdot Pressure^{1.04} \cdot Outlet Quality^{1.41} \cdot g^{1.12}},,,,,,,,1
2,3,309001.2144011316,-0.006524545110191071,1101,3,\frac{Heated Length^{6.86} \cdot Pressure^{2.76} \cdot g^{0.35}}{Tube Diameter^{6.52} \cdot Mass Flux^{1.76} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.73}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.04}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.76} \cdot g^{7.42}},\frac{Tube Diameter^{0.55} \cdot Mass Flux^{1.83} \cdot Inlet Subcooling^{2.66}}{Heated Length^{1.79} \cdot Pressure^{0.83} \cdot Outlet Quality^{1.41} \cdot g^{1.24}},,,,,,,,1
3,4,323141.9640896733,-0.00841856581725614,1111,4,\frac{Heated Length^{7.94} \cdot Pressure^{1.55} \cdot g^{0.52}}{Tube Diameter^{7.41} \cdot Mass Flux^{0.55} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.3}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.55} \cdot g^{7.28}},\frac{Tube Diameter^{0.33} \cdot Pressure^{5.14} \cdot Outlet Quality^{5.13}}{Heated Length^{1.08} \cdot Mass Flux^{4.14} \cdot Inlet Subcooling^{0.82} \cdot g^{0.75}},\frac{Tube Diameter^{0.58} \cdot Mass Flux^{2.04} \cdot Inlet Subcooling^{2.64}}{Heated Length^{1.7} \cdot Pressure^{1.04} \cdot Outlet Quality^{1.2} \cdot g^{1.12}},,,,,,,1
4,4,338652.25008917484,-0.039117411074238745,1111,4,\frac{Heated Length^{7.63} \cdot Pressure^{1.39} \cdot Outlet Quality^{1.43} \cdot Inlet Subcooling^{0.01} \cdot g^{0.3}}{Tube Diameter^{7.33} \cdot Mass Flux^{0.39}},\frac{Heated Length^{0.08} \cdot Mass Flux^{4.14} \cdot Inlet Subcooling^{9.85}}{Tube Diameter^{7.36} \cdot Pressure^{3.14} \cdot Outlet Quality^{8.55} \cdot g^{7.28}},\frac{Tube Diameter^{0.37} \cdot Pressure^{5.13} \cdot Outlet Quality^{5.18}}{Heated Length^{1.1} \cdot Mass Flux^{4.13} \cdot Inlet Subcooling^{0.84} \cdot g^{0.73}},\frac{Tube Diameter^{0.72} \cdot Mass Flux^{1.95} \cdot Inlet Subcooling^{2.67}}{Heated Length^{1.91} \cdot Pressure^{0.95} \cdot Outlet Quality^{1.2} \cdot g^{1.19}},,,,,,,1
5,3,369183.24582815677,-0.0446636614474247,0111,3,\frac{Mass Flux^{4.49} \cdot Inlet Subcooling^{9.83}}{Tube Diameter^{6.91} \cdot Heated Length^{0.17} \cdot Pressure^{3.49} \cdot Outlet Quality^{8.57} \cdot g^{7.08}},\frac{Heated Length^{2.5} \cdot Pressure^{2.47} \cdot Outlet Quality^{4.75} \cdot g^{0.19}}{Tube Diameter^{2.3} \cdot Mass Flux^{1.47} \cdot Inlet Subcooling^{0.43}},\frac{Tube Diameter^{0.61} \cdot Mass Flux^{2.09} \cdot Inlet Subcooling^{2.75}}{Heated Length^{1.81} \cdot Pressure^{1.09} \cdot Outlet Quality^{1.17} \cdot g^{1.2}},,,,,,,,1
6,4,388747.071270347,-0.04572016462400763,1111,4,\frac{Tube Diameter^{2.04} \cdot Heated Length^{5.18} \cdot Mass Flux^{3.71} \cdot Outlet Quality^{1.56} \cdot g^{7.23}}{Pressure^{2.71} \cdot Inlet Subcooling^{4.87}},\frac{Mass Flux^{4.49} \cdot Inlet Subcooling^{9.83}}{Tube Diameter^{6.91} \cdot Heated Length^{0.17} \cdot Pressure^{3.49} \cdot Outlet Quality^{8.57} \cdot g^{7.08}},\frac{Heated Length^{3.18} \cdot Pressure^{2.65} \cdot Outlet Quality^{4.74} \cdot g^{0.61}}{Tube Diameter^{2.57} \cdot Mass Flux^{1.65} \cdot Inlet Subcooling^{0.94}},\frac{Tube Diameter^{0.6} \cdot Mass Flux^{2.09} \cdot Inlet Subcooling^{2.75}}{Heated Length^{1.81} \cdot Pressure^{1.09} \cdot Outlet Quality^{1.17} \cdot g^{1.21}},,,,,,,1
7,4,432546.6912537798,-0.046749102080773014,1111,4,\frac{Tube Diameter^{4.74} \cdot Mass Flux^{7.3} \cdot Outlet Quality^{1.57} \cdot Inlet Subcooling^{2.7} \cdot g^{1.46}}{Heated Length^{3.29} \cdot Pressure^{6.3}},\frac{Heated Length^{0.07} \cdot Mass Flux^{4.21} \cdot Inlet Subcooling^{9.81}}{Tube Diameter^{7.28} \cdot Pressure^{3.21} \cdot Outlet Quality^{7.74} \cdot g^{7.21}},\frac{Heated Length^{2.14} \cdot Pressure^{2.38} \cdot Outlet Quality^{7.85} \cdot Inlet Subcooling^{0.17}}{Tube Diameter^{2.5} \cdot Mass Flux^{1.38} \cdot g^{0.36}},\frac{Tube Diameter^{0.55} \cdot Mass Flux^{1.87} \cdot Outlet Quality^{1.03} \cdot Inlet Subcooling^{2.39}}{Heated Length^{1.5} \cdot Pressure^{0.87} \cdot g^{0.95}},,,,,,,1
8,4,432546.6912537799,-0.04674910208077318,1111,4,\frac{Tube Diameter^{4.74} \cdot Mass Flux^{7.3} \cdot Outlet Quality^{1.57} \cdot Inlet Subcooling^{2.7} \cdot g^{1.46}}{Heated Length^{3.29} \cdot Pressure^{6.3}},\frac{Heated Length^{0.07} \cdot Mass Flux^{4.21} \cdot Inlet Subcooling^{9.81}}{Tube Diameter^{7.28} \cdot Pressure^{3.21} \cdot Outlet Quality^{7.74} \cdot g^{7.21}},\frac{Heated Length^{2.14} \cdot Pressure^{2.38} \cdot Outlet Quality^{7.85} \cdot Inlet Subcooling^{0.17}}{Tube Diameter^{2.5} \cdot Mass Flux^{1.38} \cdot g^{0.36}},\frac{Tube Diameter^{0.55} \cdot Mass Flux^{1.87} \cdot Outlet Quality^{1.03} \cdot Inlet Subcooling^{2.39}}{Heated Length^{1.5} \cdot Pressure^{0.87} \cdot g^{0.95}},,,,,,,1
9,4,432794.90205207816,-0.06669772521754055,1111,4,\frac{Heated Length^{6.55} \cdot Pressure^{2.53} \cdot g^{0.39}}{Tube Diameter^{6.16} \cdot Mass Flux^{1.53} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.66}},\frac{Heated Length^{0.07} \cdot Mass Flux^{4.16} \cdot Inlet Subcooling^{9.87}}{Tube Diameter^{7.37} \cdot Pressure^{3.16} \cdot Outlet Quality^{8.55} \cdot g^{7.29}},\frac{Tube Diameter^{6.79} \cdot Pressure^{1.16} \cdot Outlet Quality^{5.12} \cdot g^{4.57}}{Heated Length^{2.23} \cdot Mass Flux^{0.16} \cdot Inlet Subcooling^{4.15}},\frac{Tube Diameter^{0.45} \cdot Mass Flux^{1.91} \cdot Outlet Quality^{0.95} \cdot Inlet Subcooling^{2.71}}{Heated Length^{1.7} \cdot Pressure^{0.91} \cdot g^{1.25}},,,,,,,1
