solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
0,3,294216.84536027553,0.03929858301564548,1101,3,\frac{Heated Length^{6.88} \cdot Pressure^{2.66} \cdot g^{0.44}}{Tube Diameter^{6.44} \cdot Mass Flux^{1.66} \cdot Outlet Quality^{0.34} \cdot Inlet Subcooling^{0.77}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.05}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{7.72} \cdot g^{7.42}},\frac{Tube Diameter^{0.39} \cdot Mass Flux^{1.81} \cdot Inlet Subcooling^{2.48}}{Heated Length^{1.47} \cdot Pressure^{0.81} \cdot Outlet Quality^{1.41} \cdot g^{1.08}},,,,,,,
1,3,299684.65764927084,0.0001246899700767523,1101,3,\frac{Heated Length^{6.85} \cdot Pressure^{2.62} \cdot g^{0.45}}{Tube Diameter^{6.4} \cdot Mass Flux^{1.62} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.76}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.03}}{Tube Diameter^{7.32} \cdot Heated Length^{0.09} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.55} \cdot g^{7.41}},\frac{Tube Diameter^{0.58} \cdot Mass Flux^{2.04} \cdot Inlet Subcooling^{2.64}}{Heated Length^{1.7} \cdot Pressure^{1.04} \cdot Outlet Quality^{1.41} \cdot g^{1.12}},,,,,,,
2,3,300181.73805782606,0.0014387790075378604,1101,3,\frac{Heated Length^{6.83} \cdot Pressure^{2.61} \cdot g^{0.44}}{Tube Diameter^{6.39} \cdot Mass Flux^{1.61} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.75}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.05}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.55} \cdot g^{7.42}},\frac{Tube Diameter^{0.47} \cdot Mass Flux^{1.91} \cdot Inlet Subcooling^{2.7}}{Heated Length^{1.71} \cdot Pressure^{0.91} \cdot Outlet Quality^{1.41} \cdot g^{1.24}},,,,,,,
3,4,305226.3272205502,0.0092202647880959,1111,4,\frac{Heated Length^{6.84} \cdot Pressure^{2.69} \cdot g^{0.44}}{Tube Diameter^{6.41} \cdot Mass Flux^{1.69} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.78}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.05}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.48} \cdot g^{7.42}},\frac{Tube Diameter^{8.18} \cdot Mass Flux^{1.77} \cdot Outlet Quality^{5.14} \cdot g^{1.83}}{Heated Length^{6.35} \cdot Pressure^{0.77} \cdot Inlet Subcooling^{0.44}},\frac{Tube Diameter^{0.47} \cdot Mass Flux^{1.92} \cdot Inlet Subcooling^{2.7}}{Heated Length^{1.71} \cdot Pressure^{0.92} \cdot Outlet Quality^{1.41} \cdot g^{1.24}},,,,,,
4,3,309001.2144011316,-0.006524545110191071,1101,3,\frac{Heated Length^{6.86} \cdot Pressure^{2.76} \cdot g^{0.35}}{Tube Diameter^{6.52} \cdot Mass Flux^{1.76} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.73}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.04}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.76} \cdot g^{7.42}},\frac{Tube Diameter^{0.55} \cdot Mass Flux^{1.83} \cdot Inlet Subcooling^{2.66}}{Heated Length^{1.79} \cdot Pressure^{0.83} \cdot Outlet Quality^{1.41} \cdot g^{1.24}},,,,,,,
5,4,316477.2957115188,0.006456110407249804,1111,4,\frac{Heated Length^{6.53} \cdot Pressure^{2.44} \cdot g^{0.49}}{Tube Diameter^{6.04} \cdot Mass Flux^{1.44} \cdot Outlet Quality^{0.8} \cdot Inlet Subcooling^{0.71}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.04}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.74} \cdot g^{7.42}},\frac{Tube Diameter^{2.08} \cdot Pressure^{3.51} \cdot Outlet Quality^{5.13} \cdot Inlet Subcooling^{2.67}}{Heated Length^{5.51} \cdot Mass Flux^{2.51} \cdot g^{3.42}},\frac{Tube Diameter^{0.46} \cdot Mass Flux^{1.99} \cdot Inlet Subcooling^{2.79}}{Heated Length^{1.76} \cdot Pressure^{0.99} \cdot Outlet Quality^{1.33} \cdot g^{1.29}},,,,,,
6,3,319647.4911196174,-0.006292310589127159,1101,3,\frac{Heated Length^{6.98} \cdot Pressure^{2.7} \cdot Outlet Quality^{1.35} \cdot g^{0.3}}{Tube Diameter^{6.69} \cdot Mass Flux^{1.7} \cdot Inlet Subcooling^{0.64}},\frac{Mass Flux^{4.24} \cdot Inlet Subcooling^{10.05}}{Tube Diameter^{7.31} \cdot Heated Length^{0.11} \cdot Pressure^{3.24} \cdot Outlet Quality^{8.55} \cdot g^{7.42}},\frac{Tube Diameter^{0.47} \cdot Mass Flux^{1.92} \cdot Inlet Subcooling^{2.7}}{Heated Length^{1.71} \cdot Pressure^{0.92} \cdot Outlet Quality^{1.16} \cdot g^{1.24}},,,,,,,
7,4,323141.9640896733,-0.00841856581725614,1111,4,\frac{Heated Length^{7.94} \cdot Pressure^{1.55} \cdot g^{0.52}}{Tube Diameter^{7.41} \cdot Mass Flux^{0.55} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.3}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.55} \cdot g^{7.28}},\frac{Tube Diameter^{0.33} \cdot Pressure^{5.14} \cdot Outlet Quality^{5.13}}{Heated Length^{1.08} \cdot Mass Flux^{4.14} \cdot Inlet Subcooling^{0.82} \cdot g^{0.75}},\frac{Tube Diameter^{0.58} \cdot Mass Flux^{2.04} \cdot Inlet Subcooling^{2.64}}{Heated Length^{1.7} \cdot Pressure^{1.04} \cdot Outlet Quality^{1.2} \cdot g^{1.12}},,,,,,
8,4,323141.9640896733,-0.00841856581725603,1111,4,\frac{Heated Length^{7.94} \cdot Pressure^{1.55} \cdot g^{0.52}}{Tube Diameter^{7.41} \cdot Mass Flux^{0.55} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.3}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.55} \cdot g^{7.28}},\frac{Tube Diameter^{0.33} \cdot Pressure^{5.14} \cdot Outlet Quality^{5.13}}{Heated Length^{1.08} \cdot Mass Flux^{4.14} \cdot Inlet Subcooling^{0.82} \cdot g^{0.75}},\frac{Tube Diameter^{0.58} \cdot Mass Flux^{2.04} \cdot Inlet Subcooling^{2.64}}{Heated Length^{1.7} \cdot Pressure^{1.04} \cdot Outlet Quality^{1.2} \cdot g^{1.12}},,,,,,
9,3,324295.6579017259,0.002157174849573479,0111,3,\frac{Heated Length^{0.08} \cdot Mass Flux^{4.14} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.14} \cdot Outlet Quality^{8.56} \cdot g^{7.29}},\frac{Tube Diameter^{1.53} \cdot Pressure^{3.34} \cdot Outlet Quality^{5.13} \cdot Inlet Subcooling^{2.81}}{Heated Length^{5.02} \cdot Mass Flux^{2.34} \cdot g^{3.48}},\frac{Tube Diameter^{0.62} \cdot Mass Flux^{1.98} \cdot Inlet Subcooling^{2.62}}{Heated Length^{1.75} \cdot Pressure^{0.98} \cdot Outlet Quality^{1.27} \cdot g^{1.13}},,,,,,,
