solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
0,4,0.09513351698160125,0.044089660669549224,1111,4,\frac{etaP^{0.88}}{Vs^{0.2} \cdot rho^{0.88} \cdot cp^{1.03} \cdot Tl-T0^{1.03} \cdot r0^{1.38} \cdot alpha^{0.38}},\frac{rho^{0.05} \cdot cp^{0.6} \cdot Tl-T0^{0.6} \cdot alpha^{0.96}}{etaP^{0.05} \cdot Vs^{2.0} \cdot r0^{0.86}},\frac{etaP^{0.72} \cdot cp^{0.05} \cdot Tl-T0^{0.05}}{Vs^{1.63} \cdot rho^{0.72} \cdot r0^{0.82} \cdot alpha^{0.62}},\frac{etaP^{0.23} \cdot Vs^{1.63} \cdot r0^{0.81}}{rho^{0.23} \cdot cp^{0.52} \cdot Tl-T0^{0.52} \cdot alpha^{1.27}},,,,,,
1,4,0.09594813601702158,0.05841070464909692,1111,4,\frac{etaP^{0.89}}{Vs^{0.24} \cdot rho^{0.89} \cdot cp^{1.04} \cdot Tl-T0^{1.04} \cdot r0^{1.43} \cdot alpha^{0.36}},\frac{rho^{0.05} \cdot cp^{0.59} \cdot Tl-T0^{0.59} \cdot alpha^{0.96}}{etaP^{0.05} \cdot Vs^{1.99} \cdot r0^{0.86}},\frac{etaP^{0.7} \cdot cp^{0.05} \cdot Tl-T0^{0.05}}{Vs^{1.59} \cdot rho^{0.7} \cdot r0^{0.8} \cdot alpha^{0.59}},\frac{etaP^{0.24} \cdot Vs^{1.58} \cdot r0^{0.77}}{rho^{0.24} \cdot cp^{0.53} \cdot Tl-T0^{0.53} \cdot alpha^{1.26}},,,,,,
2,4,0.0959929434895476,0.05843796765978859,1111,4,\frac{etaP^{0.89}}{Vs^{0.24} \cdot rho^{0.89} \cdot cp^{1.04} \cdot Tl-T0^{1.04} \cdot r0^{1.43} \cdot alpha^{0.36}},\frac{rho^{0.05} \cdot cp^{0.59} \cdot Tl-T0^{0.59} \cdot alpha^{0.96}}{etaP^{0.05} \cdot Vs^{1.99} \cdot r0^{0.86}},\frac{etaP^{0.69} \cdot cp^{0.05} \cdot Tl-T0^{0.05}}{Vs^{1.59} \cdot rho^{0.69} \cdot r0^{0.8} \cdot alpha^{0.59}},\frac{etaP^{0.24} \cdot Vs^{1.58} \cdot r0^{0.77}}{rho^{0.24} \cdot cp^{0.53} \cdot Tl-T0^{0.53} \cdot alpha^{1.26}},,,,,,
3,4,0.09665729821991856,0.04699134867555932,1111,4,\frac{etaP^{0.88}}{Vs^{0.19} \cdot rho^{0.88} \cdot cp^{1.03} \cdot Tl-T0^{1.03} \cdot r0^{1.38} \cdot alpha^{0.37}},\frac{rho^{0.05} \cdot cp^{0.58} \cdot Tl-T0^{0.58} \cdot alpha^{0.96}}{etaP^{0.05} \cdot Vs^{1.98} \cdot r0^{0.87}},\frac{etaP^{0.69} \cdot cp^{0.05} \cdot Tl-T0^{0.05}}{Vs^{1.58} \cdot rho^{0.69} \cdot r0^{0.79} \cdot alpha^{0.59}},\frac{etaP^{0.24} \cdot Vs^{1.58} \cdot r0^{0.77}}{rho^{0.24} \cdot cp^{0.53} \cdot Tl-T0^{0.53} \cdot alpha^{1.25}},,,,,,
4,4,0.09792383782499518,0.02627970705594762,1111,4,\frac{etaP^{0.89}}{Vs^{0.18} \cdot rho^{0.89} \cdot cp^{1.05} \cdot Tl-T0^{1.05} \cdot r0^{1.4} \cdot alpha^{0.37}},\frac{etaP^{0.24} \cdot alpha^{0.81}}{Vs^{1.31} \cdot rho^{0.24} \cdot cp^{0.11} \cdot Tl-T0^{0.11} \cdot r0^{1.29}},\frac{etaP^{0.73} \cdot cp^{0.02} \cdot Tl-T0^{0.02}}{Vs^{1.6} \cdot rho^{0.73} \cdot r0^{0.83} \cdot alpha^{0.63}},\frac{etaP^{0.23} \cdot Vs^{1.62} \cdot r0^{0.82}}{rho^{0.23} \cdot cp^{0.52} \cdot Tl-T0^{0.52} \cdot alpha^{1.28}},,,,,,
5,4,0.1002728263835421,0.04338409417456679,1111,4,\frac{etaP^{0.89}}{Vs^{0.24} \cdot rho^{0.89} \cdot cp^{1.04} \cdot Tl-T0^{1.04} \cdot r0^{1.43} \cdot alpha^{0.36}},\frac{etaP^{0.2} \cdot alpha^{0.89}}{Vs^{1.3} \cdot rho^{0.2} \cdot cp^{0.1} \cdot Tl-T0^{0.1} \cdot r0^{1.29}},\frac{etaP^{0.72} \cdot cp^{0.05} \cdot Tl-T0^{0.05}}{Vs^{1.63} \cdot rho^{0.72} \cdot r0^{0.82} \cdot alpha^{0.62}},\frac{etaP^{0.23} \cdot Vs^{1.63} \cdot r0^{0.81}}{rho^{0.23} \cdot cp^{0.52} \cdot Tl-T0^{0.52} \cdot alpha^{1.27}},,,,,,
6,3,0.10344829247983017,-0.07299312108770462,1110,3,\frac{etaP^{0.89}}{Vs^{0.25} \cdot rho^{0.89} \cdot cp^{1.03} \cdot Tl-T0^{1.03} \cdot r0^{1.42} \cdot alpha^{0.35}},\frac{etaP^{0.21} \cdot alpha^{0.89}}{Vs^{1.28} \cdot rho^{0.21} \cdot cp^{0.11} \cdot Tl-T0^{0.11} \cdot r0^{1.3}},\frac{etaP^{0.72} \cdot cp^{0.04} \cdot Tl-T0^{0.04}}{Vs^{1.63} \cdot rho^{0.72} \cdot r0^{0.82} \cdot alpha^{0.62}},,,,,,,
7,3,0.10345627263877426,-0.07310809475661317,1110,3,\frac{etaP^{0.89}}{Vs^{0.25} \cdot rho^{0.89} \cdot cp^{1.03} \cdot Tl-T0^{1.03} \cdot r0^{1.42} \cdot alpha^{0.35}},\frac{etaP^{0.21} \cdot alpha^{0.89}}{Vs^{1.28} \cdot rho^{0.21} \cdot cp^{0.11} \cdot Tl-T0^{0.11} \cdot r0^{1.3}},\frac{etaP^{0.72} \cdot cp^{0.05} \cdot Tl-T0^{0.05}}{Vs^{1.63} \cdot rho^{0.72} \cdot r0^{0.82} \cdot alpha^{0.62}},,,,,,,
8,3,0.10418185583595381,-0.0759784314095317,1110,3,\frac{etaP^{0.89}}{Vs^{0.25} \cdot rho^{0.89} \cdot cp^{1.03} \cdot Tl-T0^{1.03} \cdot r0^{1.42} \cdot alpha^{0.37}},\frac{etaP^{0.2} \cdot alpha^{0.89}}{Vs^{1.29} \cdot rho^{0.2} \cdot cp^{0.11} \cdot Tl-T0^{0.11} \cdot r0^{1.3}},\frac{etaP^{0.72} \cdot cp^{0.04} \cdot Tl-T0^{0.04}}{Vs^{1.62} \cdot rho^{0.72} \cdot r0^{0.82} \cdot alpha^{0.62}},,,,,,,
9,3,0.10421939141783929,-0.07592609011779411,1110,3,\frac{etaP^{0.89}}{Vs^{0.25} \cdot rho^{0.89} \cdot cp^{1.03} \cdot Tl-T0^{1.03} \cdot r0^{1.42} \cdot alpha^{0.37}},\frac{etaP^{0.2} \cdot alpha^{0.89}}{Vs^{1.29} \cdot rho^{0.2} \cdot cp^{0.11} \cdot Tl-T0^{0.11} \cdot r0^{1.3}},\frac{etaP^{0.72} \cdot cp^{0.04} \cdot Tl-T0^{0.04}}{Vs^{1.62} \cdot rho^{0.72} \cdot r0^{0.82} \cdot alpha^{0.62}},,,,,,,
