Solution_Index,R2,MSE,Feature_Importances
0,0.998937318028035,54966.48947377933,"0.9890595185348103,0.005562434338846598,0.0030058496677612704,0.002372197458581809"
1,0.9989454108635589,54547.89315768773,"0.9891298838737451,0.0055754615703783586,0.0030460602693339984,0.002248594286542626"
2,0.9989454108635589,54547.89315768773,"0.9891298838737451,0.0055754615703783586,0.0030460602693339984,0.002248594286542626"
3,0.9980898249393051,98802.48290334306,"0.9887345582458914,0.003977450960279016,0.0037254440533612096,0.0035625467404683344"
4,0.9987930991869979,62426.10920660118,"0.9912338403374603,0.005519907266303033,0.00047495291389894204,0.0027712994823377197"
5,0.9987930967454741,62426.23549273031,"0.9912338841606073,0.005519880793934177,0.00047508253057772796,0.0027711525148807776"
6,0.9987947470834105,62340.87290523346,"0.9912275620732277,0.005524415111803417,0.00047799018231507224,0.002770032632653703"
7,0.9984259193426869,81418.23251324528,"0.9927622454695061,0.0040315898023741996,0.00047059504948794974,0.0027355696786317343"
8,0.9982565310392605,90179.72526733014,"0.9886000196366151,0.005469487795798196,0.0014834819258321638,0.004447010641754524"
9,0.9980611503238263,100285.65754209556,"0.9908072124418191,0.0049856664325871585,0.0,0.00420712112559371"
10,0.9984178405633384,81836.10178339126,"0.9901849700818803,0.005438142850861547,0.0,0.0043768870672581586"
11,0.9982841933355509,88748.91213792999,"0.9885608365921851,0.0055010354215433745,0.001962129007983428,0.00397599897828815"
12,0.998306909609872,87573.92857154057,"0.9886352663172113,0.005373925734063901,0.001570831348737804,0.004419976599986886"
13,0.9980760515006575,99514.90448422365,"0.9886904141475729,0.007119151061497898,0.0,0.004190434790929278"
14,0.9980756729919391,99534.48258569937,"0.9886905484878775,0.007119766858739023,0.0,0.004189684653383416"
15,0.9980966239241963,98450.81011570033,"0.9864997890464496,0.003929374393764585,0.005544256306059461,0.0040265802537261565"
16,0.9991918768815167,41799.60896813911,"0.9909686212468488,0.0,0.0,0.009031378753151183"
17,0.9977357973710683,117114.31383328009,"0.9891428770809767,0.005023562830959369,0.005833560088063955,0.0"
18,0.9972799603569376,140692.16788555452,"0.9896465571091507,0.004528483011979744,0.005824959878869595,0.0"
19,0.9985987973161379,72476.23899248519,"0.9914876865566287,0.0009651154394405806,0.0035920337899351964,0.003955164213995546"
20,0.9987086031519945,66796.60813395608,"0.9927819766963055,0.0043968897523899726,0.002821133551304584,0.0"
21,0.9984148173082913,81992.47755817749,"0.9931733046249569,0.004055981494353721,0.0027707138806893463,0.0"
22,0.9984145172488861,82007.99792322876,"0.9931772228291437,0.004056067855954233,0.0027667093149020424,0.0"
23,0.9997955040607556,10577.410917325646,"0.9943892160845905,0.005610783915409553,0.0,0.0"
24,0.99957923086794,21763.992124096072,"0.9939640023966817,0.006035997603318324,0.0,0.0"
25,0.9995792188480017,21764.613847084478,"0.9939640023966817,0.006035997603318324,0.0,0.0"
26,0.9995041076568283,25649.688222970486,"0.9940001607315496,0.005999839268450382,0.0,0.0"
27,0.9985699120659232,73970.30856716412,"0.990859127843896,0.0016601343543002317,0.0,0.007480737801803865"
28,0.9977531659258084,116215.93736083829,"0.9917104748286533,0.0,0.0,0.008289525171346738"
29,0.9977594560301446,115890.58606769113,"0.9895676175239166,0.0,0.0,0.010432382476083408"
30,0.9984412560951039,80624.94960967482,"0.9917070895636775,0.0,0.0,0.008292910436322598"
31,0.998441344049686,80620.40021979588,"0.9917040739642151,0.0,0.0,0.00829592603578486"
32,0.9984418377248097,80594.86521571419,"0.9917018925930242,0.0,0.0,0.008298107406975834"
33,0.9978615575595893,110609.45512585469,"0.9869899500234514,0.0,0.0,0.013010049976548546"
34,0.9978521119675099,111098.0218384756,"0.9869900053907945,0.0,0.0,0.013009994609205513"
35,0.9954389581726352,235916.73163489913,"0.0,0.9552260717774071,0.04477392822259291,0.0"
36,0.9949043888384751,263566.9604467984,"0.0,0.9538335708588543,0.046166429141145646,0.0"
37,0.9877576221304117,633228.5218487782,"0.0,0.0,0.5319180955257788,0.4680819044742212"
38,0.9878691562022184,627459.4991819224,"0.0,0.0,0.4748728893092764,0.5251271106907236"
39,0.9896514371238488,535272.2521008711,"0.0,0.0,0.554147102196654,0.445852897803346"
40,0.9866279469435393,691660.1889948719,"0.0,0.0,0.5260186004326095,0.4739813995673905"
41,0.9866368343343757,691200.4948551909,"0.0,0.0,0.5261538248909031,0.4738461751090968"
42,0.9885886238342775,590245.5338869498,"0.0,0.5571118452139188,0.0,0.4428881547860813"
43,0.9885903835556151,590154.5135187323,"0.0,0.5571167920651555,0.0,0.44288320793484454"
44,0.9855799822706193,745865.4363619989,"0.0,0.4998195036552092,0.0,0.5001804963447908"
45,0.9854555086207746,752303.749746859,"0.0,0.5036752457715008,0.0,0.4963247542284992"
46,0.9862421692181191,711614.2748295213,"0.0,0.5130746250141245,0.0,0.48692537498587557"
47,0.9862421692181191,711614.2748295213,"0.0,0.5130746250141245,0.0,0.48692537498587557"
48,0.9862233041606171,712590.0568715299,"0.0,0.5152409877058378,0.0,0.48475901229416213"
49,0.9868056233876952,682469.9978981214,"0.0,0.5130562332897959,0.0,0.48694376671020406"
