solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
0,4,20917.397044201967,0.0023852859970386886,1111,4,\frac{l^{3.48} \cdot \rho^{1.11} \cdot dp_dx^{1.11} \cdot B^{0.15}}{\mu^{2.29} \cdot \eta^{0.07}},\frac{l^{3.26} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.05}}{\mu^{2.16} \cdot \eta^{0.02}},\frac{l^{3.88} \cdot \rho^{1.16} \cdot dp_dx^{1.16} \cdot B^{0.4}}{\mu^{2.52} \cdot \eta^{0.2}},\frac{\rho^{1.03} \cdot \eta^{1.71} \cdot dp_dx^{1.03}}{l^{0.32} \cdot \mu^{0.36} \cdot B^{3.42}},,,,,,
1,4,21454.50741720506,0.002686810709730647,1111,4,\frac{l^{3.48} \cdot \rho^{1.11} \cdot dp_dx^{1.11} \cdot B^{0.15}}{\mu^{2.29} \cdot \eta^{0.07}},\frac{l^{3.26} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.04}}{\mu^{2.17} \cdot \eta^{0.02}},\frac{l^{3.88} \cdot \rho^{1.16} \cdot dp_dx^{1.16} \cdot B^{0.4}}{\mu^{2.52} \cdot \eta^{0.2}},\frac{\rho^{1.02} \cdot \eta^{1.71} \cdot dp_dx^{1.02}}{l^{0.37} \cdot \mu^{0.32} \cdot B^{3.42}},,,,,,
2,4,22988.98049067467,0.0014098763751988486,1111,4,\frac{l^{3.48} \cdot \rho^{1.11} \cdot dp_dx^{1.11} \cdot B^{0.15}}{\mu^{2.3} \cdot \eta^{0.07}},\frac{l^{3.26} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.05}}{\mu^{2.16} \cdot \eta^{0.02}},\frac{l^{3.9} \cdot \rho^{1.14} \cdot dp_dx^{1.14} \cdot B^{0.49}}{\mu^{2.52} \cdot \eta^{0.24}},\frac{l^{0.07} \cdot \mu^{0.05} \cdot B^{0.56}}{\rho^{0.16} \cdot \eta^{0.28} \cdot dp_dx^{0.16}},,,,,,
3,4,23120.57849098521,0.001404504205837931,1111,4,\frac{l^{3.48} \cdot \rho^{1.11} \cdot dp_dx^{1.11} \cdot B^{0.15}}{\mu^{2.3} \cdot \eta^{0.07}},\frac{l^{3.26} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.05}}{\mu^{2.16} \cdot \eta^{0.02}},\frac{l^{3.9} \cdot \rho^{1.14} \cdot dp_dx^{1.14} \cdot B^{0.49}}{\mu^{2.52} \cdot \eta^{0.24}},\frac{l^{0.07} \cdot \mu^{0.05} \cdot B^{0.56}}{\rho^{0.16} \cdot \eta^{0.28} \cdot dp_dx^{0.16}},,,,,,
4,4,23371.481039045386,0.0014042908927802689,1111,4,\frac{l^{3.48} \cdot \rho^{1.11} \cdot dp_dx^{1.11} \cdot B^{0.15}}{\mu^{2.3} \cdot \eta^{0.07}},\frac{l^{3.26} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.05}}{\mu^{2.16} \cdot \eta^{0.02}},\frac{l^{3.9} \cdot \rho^{1.14} \cdot dp_dx^{1.14} \cdot B^{0.49}}{\mu^{2.52} \cdot \eta^{0.24}},\frac{l^{0.07} \cdot \mu^{0.05} \cdot B^{0.55}}{\rho^{0.16} \cdot \eta^{0.27} \cdot dp_dx^{0.16}},,,,,,
5,4,23428.106873028722,-0.0008528149626535475,1111,4,\frac{l^{3.79} \cdot \rho^{1.2} \cdot dp_dx^{1.2} \cdot B^{0.18}}{\mu^{2.5} \cdot \eta^{0.09}},\frac{l^{3.05} \cdot \rho^{1.02} \cdot \eta^{0.01} \cdot dp_dx^{1.02}}{\mu^{2.04} \cdot B^{0.02}},\frac{l^{4.08} \cdot \rho^{0.96} \cdot dp_dx^{0.96} \cdot B^{1.2}}{\mu^{2.52} \cdot \eta^{0.6}},\frac{l^{0.44} \cdot B^{1.05}}{\mu^{0.12} \cdot \rho^{0.2} \cdot \eta^{0.52} \cdot dp_dx^{0.2}},,,,,,
6,4,26324.0000960064,-0.0030885857662341643,1111,4,\frac{l^{3.79} \cdot \rho^{1.21} \cdot dp_dx^{1.21} \cdot B^{0.18}}{\mu^{2.5} \cdot \eta^{0.09}},\frac{l^{3.05} \cdot \rho^{1.02} \cdot \eta^{0.01} \cdot dp_dx^{1.02}}{\mu^{2.04} \cdot B^{0.02}},\frac{l^{4.08} \cdot \rho^{0.96} \cdot dp_dx^{0.96} \cdot B^{1.2}}{\mu^{2.52} \cdot \eta^{0.6}},\frac{l^{0.18} \cdot \mu^{0.05} \cdot B^{1.04}}{\rho^{0.29} \cdot \eta^{0.52} \cdot dp_dx^{0.29}},,,,,,
7,4,27516.185376480087,-0.09436790461201727,1111,4,\frac{l^{2.89} \cdot \rho^{2.11} \cdot \eta^{1.72} \cdot dp_dx^{2.11}}{\mu^{2.5} \cdot B^{3.44}},\frac{l^{2.98} \cdot \rho^{1.0} \cdot \eta^{0.01} \cdot dp_dx^{1.0}}{\mu^{1.99} \cdot B^{0.02}},\frac{l^{4.06} \cdot \rho^{0.95} \cdot dp_dx^{0.95} \cdot B^{1.2}}{\mu^{2.51} \cdot \eta^{0.6}},\frac{l^{0.32} \cdot B^{0.67}}{\mu^{0.1} \cdot \rho^{0.12} \cdot \eta^{0.33} \cdot dp_dx^{0.12}},,,,,,
8,3,27926.9343959635,-0.10177189007147086,0111,3,\frac{l^{2.98} \cdot \rho^{1.0} \cdot \eta^{0.01} \cdot dp_dx^{1.0}}{\mu^{1.99} \cdot B^{0.02}},\frac{l^{4.06} \cdot \rho^{0.95} \cdot dp_dx^{0.95} \cdot B^{1.2}}{\mu^{2.51} \cdot \eta^{0.6}},\frac{l^{0.33} \cdot B^{0.75}}{\mu^{0.1} \cdot \rho^{0.14} \cdot \eta^{0.38} \cdot dp_dx^{0.14}},,,,,,,
9,3,33634.740597827215,-0.10475690937111942,0111,3,\frac{l^{3.05} \cdot \rho^{1.02} \cdot \eta^{0.01} \cdot dp_dx^{1.02}}{\mu^{2.04} \cdot B^{0.02}},\frac{l^{4.08} \cdot \rho^{0.96} \cdot dp_dx^{0.96} \cdot B^{1.2}}{\mu^{2.52} \cdot \eta^{0.6}},\frac{l^{0.44} \cdot B^{1.05}}{\mu^{0.12} \cdot \rho^{0.2} \cdot \eta^{0.53} \cdot dp_dx^{0.2}},,,,,,,
