Solution_Index,R2,MSE,Feature_Importances
0,0.9998598660588349,1.0445345050590714e-05,"0.004513047622357289,0.9954869523776427"
1,0.9998533056266224,1.0934348482389796e-05,"0.0029004270368433757,0.9970995729631565"
2,0.9999160417665637,6.25810357425881e-06,"0.0015640166407243656,0.9984359833592756"
3,0.9998976369477344,7.629967390177172e-06,"0.0023640847902010294,0.997635915209799"
4,0.9999942291110173,4.3015222558977575e-07,"0.9990694760840698,0.0009305239159301867"
5,0.9999938453037618,4.587605640407808e-07,"0.9992030067537465,0.0007969932462535451"
6,0.9999880165299281,8.932274277312386e-07,"0.9991920945313679,0.0008079054686321331"
7,0.9999891494279601,8.087831399737719e-07,"0.9994613691278236,0.0005386308721764242"
8,0.9999786915873536,1.5882927485043317e-06,"0.9988010833665151,0.0011989166334849426"
9,0.999982575281922,1.2988087769508328e-06,"0.998147753332145,0.0018522466678550515"
10,0.999984652695579,1.1439619048837443e-06,"0.9973964671441833,0.00260353285581673"
11,0.9999787421505472,1.5845238542705643e-06,"0.9984315026107974,0.001568497389202635"
12,0.9999809724321578,1.4182824655732586e-06,"0.9978127136212128,0.0021872863787870925"
13,0.9999794322285604,1.533086615714728e-06,"0.9953040075936691,0.004695992406330858"
14,0.9999795673708952,1.5230133364975295e-06,"0.9966603815045437,0.0033396184954562545"
15,0.9999802532762748,1.4718871189496212e-06,"0.9991731211839099,0.0008268788160901116"
16,0.9999776954362212,1.6625441555097662e-06,"0.9985977110922948,0.0014022889077052315"
17,0.9999796757689542,1.514933529996147e-06,"0.9984913897730013,0.0015086102269987454"
18,0.9999797827237278,1.5069613035276937e-06,"0.9979129044607201,0.002087095539279946"
19,0.9999756149861275,1.8176173583950524e-06,"0.9986933673833895,0.0013066326166105205"
20,0.9999654193075767,2.5775858542672586e-06,"0.0008673021365864573,0.9991326978634135"
21,0.9999654193075767,2.5775858542672586e-06,"0.0008673021365864573,0.9991326978634135"
22,0.9999604171819576,2.950435769450768e-06,"0.0014309479876598655,0.9985690520123401"
23,0.9999588956410796,3.063848832318082e-06,"0.0014812949459713932,0.9985187050540286"
24,0.9999620826762552,2.826292664120863e-06,"0.0013370656163535506,0.9986629343836465"
25,0.999968355257616,2.3587451440382717e-06,"0.0011440492729473913,0.9988559507270526"
26,0.9999597386724582,3.0010107106961398e-06,"0.0014283046684708223,0.9985716953315292"
27,0.9996737958154961,2.4314703745303495e-05,"1.0,0.0"
28,0.9987999971750198,8.944616460790108e-05,"0.0,1.0"
29,0.9999604459601137,2.948290694765419e-06,"0.0015252285747576185,0.9984747714252424"
30,0.999859696545834,1.0457980260670426e-05,"0.06814068987718994,0.9318593101228101"
31,0.9998371792862769,1.2136378396854803e-05,"0.07162727667576277,0.9283727233242373"
32,0.9998480530859466,1.1325863908949209e-05,"0.07587191932971864,0.9241280806702813"
33,0.9998556127910236,1.0762376381557778e-05,"0.07662664043229085,0.9233733595677092"
34,0.9998389266155728,1.200613545027224e-05,"0.08372223379461768,0.9162777662053823"
35,0.9998455106097474,1.1515375750000209e-05,"0.12046111444969175,0.8795388855503082"
36,0.9998274061348681,1.2864852439959988e-05,"0.1218612297807607,0.8781387702192393"
37,0.9998348228590012,1.231202246835197e-05,"0.12388520787094925,0.8761147921290506"
38,0.999834178463858,1.2360054583653337e-05,"0.12724476374998622,0.8727552362500137"
39,0.9998172533261293,1.3621625493138493e-05,"0.13445029015593912,0.8655497098440609"
40,0.9998152203590661,1.3773159391882075e-05,"0.13517423796562533,0.8648257620343748"
41,0.9998274767620144,1.2859588012880747e-05,"0.1368115340737787,0.8631884659262213"
42,0.9997835033699496,1.6137289684182e-05,"0.6868287626969408,0.3131712373030593"
43,0.9997766862898226,1.6645423213944915e-05,"0.6863009967154917,0.31369900328450834"
44,0.999779961619543,1.640128572092124e-05,"0.6860681203263767,0.31393187967362346"
45,0.9997789805776219,1.647441091307512e-05,"0.6854309292302295,0.31456907076977053"
46,0.9997575206718514,1.8073995700761284e-05,"0.6746261195387016,0.3253738804612985"
47,0.9997845135182098,1.6061994955136184e-05,"0.672854030789033,0.32714596921096706"
48,0.999774107552769,1.6837637877257757e-05,"0.6675009268649171,0.33249907313508287"
49,0.9997777595043355,1.656542763395795e-05,"0.6679673486175669,0.3320326513824331"
