solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
0,2,0.0015036516644015767,0.06201480194813469,11,2,\frac{nu^{0.76} \cdot U^{0.12} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.3} \cdot U^{0.03} \cdot t^{0.33}}{y^{0.64}},,,,,,,,,1
1,2,0.001526304475110604,0.05930590270562852,11,2,\frac{nu^{0.76} \cdot U^{0.12} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.3} \cdot U^{0.03} \cdot t^{0.33}}{y^{0.63}},,,,,,,,,1
2,2,0.0015923283512303498,0.05848973648708833,11,2,\frac{nu^{0.76} \cdot U^{0.12} \cdot t^{0.87}}{y^{1.63}},\frac{nu^{0.29} \cdot U^{0.06} \cdot t^{0.34}}{y^{0.63}},,,,,,,,,1
3,2,0.001610130399871304,0.050093400975278035,11,2,\frac{nu^{0.75} \cdot U^{0.13} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.28} \cdot U^{0.02} \cdot t^{0.31}}{y^{0.59}},,,,,,,,,1
4,2,0.0016519446632368574,0.049137883272098226,11,2,\frac{nu^{0.76} \cdot U^{0.12} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.27} \cdot U^{0.05} \cdot t^{0.32}}{y^{0.59}},,,,,,,,,1
5,2,0.0016836905758443753,0.048672295172990876,11,2,\frac{nu^{0.76} \cdot U^{0.11} \cdot t^{0.87}}{y^{1.63}},\frac{nu^{0.27} \cdot U^{0.06} \cdot t^{0.32}}{y^{0.59}},,,,,,,,,1
6,2,0.0016976149906800897,0.047273084253934616,11,2,\frac{nu^{0.76} \cdot U^{0.1} \cdot t^{0.87}}{y^{1.63}},\frac{nu^{0.27} \cdot U^{0.06} \cdot t^{0.32}}{y^{0.59}},,,,,,,,,1
7,2,0.0017280411331477702,0.0470006038575318,11,2,\frac{nu^{0.75} \cdot U^{0.13} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.26} \cdot U^{0.07} \cdot t^{0.32}}{y^{0.58}},,,,,,,,,1
8,2,0.0020747982259439117,0.008068179988403923,11,2,\frac{nu^{0.77} \cdot U^{0.1} \cdot t^{0.87}}{y^{1.63}},\frac{nu^{0.2} \cdot U^{0.03} \cdot t^{0.23}}{y^{0.43}},,,,,,,,,1
9,2,0.0020984754621051144,0.006267371816940592,11,2,\frac{nu^{0.76} \cdot U^{0.11} \cdot t^{0.87}}{y^{1.63}},\frac{nu^{0.2} \cdot U^{0.03} \cdot t^{0.23}}{y^{0.43}},,,,,,,,,1
10,2,0.0021246928924072675,0.004227843688014432,11,2,\frac{nu^{0.77} \cdot U^{0.1} \cdot t^{0.87}}{y^{1.63}},\frac{nu^{0.19} \cdot U^{0.03} \cdot t^{0.23}}{y^{0.42}},,,,,,,,,1
11,2,0.0021875872615092595,0.003019486982624442,11,2,\frac{nu^{0.69} \cdot U^{0.23} \cdot t^{0.93}}{y^{1.62}},\frac{nu^{0.18} \cdot U^{0.05} \cdot t^{0.23}}{y^{0.41}},,,,,,,,,1
12,2,0.0021888897092683657,0.00010758096139029671,11,2,\frac{nu^{0.76} \cdot U^{0.12} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.19} \cdot U^{0.03} \cdot t^{0.21}}{y^{0.4}},,,,,,,,,1
13,2,0.0022095145831120423,-0.0013298222525066627,11,2,\frac{nu^{0.76} \cdot U^{0.12} \cdot t^{0.87}}{y^{1.63}},\frac{nu^{0.19} \cdot U^{0.02} \cdot t^{0.21}}{y^{0.4}},,,,,,,,,1
14,2,0.0022362549210349584,-0.0032695742697723684,11,2,\frac{nu^{0.75} \cdot U^{0.13} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.18} \cdot U^{0.03} \cdot t^{0.21}}{y^{0.39}},,,,,,,,,1
15,2,0.002269723484136522,-0.005648216322720501,11,2,\frac{nu^{0.75} \cdot U^{0.13} \cdot t^{0.88}}{y^{1.63}},\frac{nu^{0.17} \cdot U^{0.03} \cdot t^{0.21}}{y^{0.38}},,,,,,,,,1
16,2,0.002284219642814474,-0.006771013598765863,11,2,\frac{nu^{0.78} \cdot U^{0.09} \cdot t^{0.86}}{y^{1.64}},\frac{nu^{0.17} \cdot U^{0.04} \cdot t^{0.21}}{y^{0.38}},,,,,,,,,1
