solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
0,3,0.45088815820170103,0.23413474589795036,111,3,\frac{Rhow^{1.56} \cdot Muw^{0.89}}{Y1^{0.27} \cdot Rho1^{1.83} \cdot Mu1^{0.62} \cdot Utau^{0.27}},\frac{Rhow^{1.15} \cdot Muw^{0.43}}{Y1^{0.06} \cdot Rho1^{1.22} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,,1
1,3,0.45088815820170297,0.23413474589794947,111,3,\frac{Rhow^{1.56} \cdot Muw^{0.89}}{Y1^{0.27} \cdot Rho1^{1.83} \cdot Mu1^{0.62} \cdot Utau^{0.27}},\frac{Rhow^{1.15} \cdot Muw^{0.43}}{Y1^{0.06} \cdot Rho1^{1.22} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,,1
2,3,0.4521692642170678,0.20633204366617042,111,3,\frac{Rhow^{1.54} \cdot Muw^{0.87}}{Y1^{0.23} \cdot Rho1^{1.77} \cdot Mu1^{0.64} \cdot Utau^{0.23}},\frac{Rhow^{1.15} \cdot Muw^{0.43}}{Y1^{0.06} \cdot Rho1^{1.22} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,,1
3,3,0.49713878767019076,0.19798550055862574,111,3,\frac{Rhow^{1.62} \cdot Muw^{0.59}}{Y1^{0.29} \cdot Rho1^{1.91} \cdot Mu1^{0.3} \cdot Utau^{0.29}},\frac{Rhow^{1.14} \cdot Muw^{0.43}}{Y1^{0.07} \cdot Rho1^{1.21} \cdot Mu1^{0.36} \cdot Utau^{0.07}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,,1
4,3,0.49991026635196284,-0.044173290671979726,111,3,\frac{Y1^{0.07} \cdot Rhow^{0.56} \cdot Muw^{0.4} \cdot Utau^{0.07}}{Rho1^{0.49} \cdot Mu1^{0.47}},\frac{Y1^{0.07} \cdot Rhow^{1.11} \cdot Muw^{0.33} \cdot Utau^{0.07}}{Rho1^{1.04} \cdot Mu1^{0.39}},\frac{Rhow^{0.32} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.14}},,,,,,,,1
5,3,0.499910266351964,-0.04417329067198006,111,3,\frac{Y1^{0.07} \cdot Rhow^{0.56} \cdot Muw^{0.4} \cdot Utau^{0.07}}{Rho1^{0.49} \cdot Mu1^{0.47}},\frac{Y1^{0.07} \cdot Rhow^{1.11} \cdot Muw^{0.33} \cdot Utau^{0.07}}{Rho1^{1.04} \cdot Mu1^{0.39}},\frac{Rhow^{0.32} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.14}},,,,,,,,1
6,3,0.5329790458104701,-0.05848186204024286,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.61} \cdot Muw^{0.16} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.2}},\frac{Y1^{0.07} \cdot Rhow^{1.12} \cdot Muw^{0.3} \cdot Utau^{0.07}}{Rho1^{1.05} \cdot Mu1^{0.38}},\frac{Rhow^{0.32} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.13} \cdot Utau^{0.15}},,,,,,,,1
7,3,0.537990280246394,-0.06708334803257665,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.61} \cdot Muw^{0.16} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.21}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.35} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.33} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.14}},,,,,,,,1
8,3,0.5398930347592807,-0.06988915329444623,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,,1
9,3,0.5399031639789059,-0.06990148046473921,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,,1
