solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
0,3,0.45088815820170103,0.23413474589795036,111,3,\frac{Rhow^{1.56} \cdot Muw^{0.89}}{Y1^{0.27} \cdot Rho1^{1.83} \cdot Mu1^{0.62} \cdot Utau^{0.27}},\frac{Rhow^{1.15} \cdot Muw^{0.43}}{Y1^{0.06} \cdot Rho1^{1.22} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,
1,3,0.45088815820170297,0.23413474589794947,111,3,\frac{Rhow^{1.56} \cdot Muw^{0.89}}{Y1^{0.27} \cdot Rho1^{1.83} \cdot Mu1^{0.62} \cdot Utau^{0.27}},\frac{Rhow^{1.15} \cdot Muw^{0.43}}{Y1^{0.06} \cdot Rho1^{1.22} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,
2,3,0.4521692642170678,0.20633204366617042,111,3,\frac{Rhow^{1.54} \cdot Muw^{0.87}}{Y1^{0.23} \cdot Rho1^{1.77} \cdot Mu1^{0.64} \cdot Utau^{0.23}},\frac{Rhow^{1.15} \cdot Muw^{0.43}}{Y1^{0.06} \cdot Rho1^{1.22} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,
3,3,0.4546891516615165,0.23008639360681915,111,3,\frac{Rhow^{1.56} \cdot Muw^{0.89}}{Y1^{0.27} \cdot Rho1^{1.83} \cdot Mu1^{0.62} \cdot Utau^{0.27}},\frac{Rhow^{1.15} \cdot Muw^{0.42}}{Y1^{0.06} \cdot Rho1^{1.21} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.1} \cdot Rhow^{0.72} \cdot Muw^{0.78} \cdot Utau^{0.1}}{Rho1^{0.61} \cdot Mu1^{0.89}},,,,,,,
4,3,0.49713878767019076,0.19798550055862574,111,3,\frac{Rhow^{1.62} \cdot Muw^{0.59}}{Y1^{0.29} \cdot Rho1^{1.91} \cdot Mu1^{0.3} \cdot Utau^{0.29}},\frac{Rhow^{1.14} \cdot Muw^{0.43}}{Y1^{0.07} \cdot Rho1^{1.21} \cdot Mu1^{0.36} \cdot Utau^{0.07}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.79} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.88}},,,,,,,
5,3,0.4991692689358703,0.19943602834591112,111,3,\frac{Rhow^{1.63} \cdot Muw^{0.56}}{Y1^{0.29} \cdot Rho1^{1.92} \cdot Mu1^{0.26} \cdot Utau^{0.29}},\frac{Rhow^{1.15} \cdot Muw^{0.43}}{Y1^{0.06} \cdot Rho1^{1.22} \cdot Mu1^{0.37} \cdot Utau^{0.06}},\frac{Y1^{0.09} \cdot Rhow^{0.71} \cdot Muw^{0.8} \cdot Utau^{0.09}}{Rho1^{0.62} \cdot Mu1^{0.89}},,,,,,,
6,3,0.49991026635196284,-0.044173290671979726,111,3,\frac{Y1^{0.07} \cdot Rhow^{0.56} \cdot Muw^{0.4} \cdot Utau^{0.07}}{Rho1^{0.49} \cdot Mu1^{0.47}},\frac{Y1^{0.07} \cdot Rhow^{1.11} \cdot Muw^{0.33} \cdot Utau^{0.07}}{Rho1^{1.04} \cdot Mu1^{0.39}},\frac{Rhow^{0.32} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.14}},,,,,,,
7,3,0.499910266351964,-0.04417329067198006,111,3,\frac{Y1^{0.07} \cdot Rhow^{0.56} \cdot Muw^{0.4} \cdot Utau^{0.07}}{Rho1^{0.49} \cdot Mu1^{0.47}},\frac{Y1^{0.07} \cdot Rhow^{1.11} \cdot Muw^{0.33} \cdot Utau^{0.07}}{Rho1^{1.04} \cdot Mu1^{0.39}},\frac{Rhow^{0.32} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.14}},,,,,,,
8,3,0.5143330503279698,-0.04108195734086206,111,3,\frac{Y1^{0.07} \cdot Rhow^{0.55} \cdot Muw^{0.42} \cdot Utau^{0.07}}{Rho1^{0.49} \cdot Mu1^{0.49}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.35} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.28}}{Y1^{0.16} \cdot Rho1^{0.47} \cdot Mu1^{0.12} \cdot Utau^{0.16}},,,,,,,
9,3,0.5170256373468455,-0.04137960535442842,111,3,\frac{Y1^{0.07} \cdot Rhow^{0.56} \cdot Muw^{0.41} \cdot Utau^{0.07}}{Rho1^{0.49} \cdot Mu1^{0.48}},\frac{Y1^{0.07} \cdot Rhow^{1.11} \cdot Muw^{0.32} \cdot Utau^{0.07}}{Rho1^{1.04} \cdot Mu1^{0.4}},\frac{Rhow^{0.34} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.48} \cdot Mu1^{0.18} \cdot Utau^{0.14}},,,,,,,
