Solution_Index,R2,MSE,Feature_Importances
0,0.9992985607245397,0.003981450105040474,"0.004386604978631131,0.05057379568113737,0.003093920682995524,0.00892973300168601,0.9290950880778167,0.003920857577733304,0.0"
1,0.9994355630300781,0.0032038092416619393,"0.003837386282877567,0.05221857151751906,0.003118189774981447,0.010355262111429578,0.9254850020503865,0.0029426590460700495,0.002042929216735762"
2,0.9992677213569531,0.004156497906914446,"0.0037732712437159753,0.04991890481735853,0.0028656022792156568,0.0071950971797090126,0.9319665469493308,0.002845652414416023,0.00143492511625393"
3,0.9993290423117522,0.0038084331057722277,"0.0037050063787962178,0.051913762444511596,0.0030749583261704566,0.005956201572288644,0.930584053100208,0.00275591323046758,0.0020101049475576126"
4,0.9993155508498668,0.0038850121971066545,"0.003861304078576347,0.05207949475287165,0.003572150297174898,0.006167973379521314,0.9309552152976598,0.0033638621941961063,0.0"
5,0.9993159962353689,0.0038824841377059585,"0.006671967953490735,0.05168926326842017,0.0031825082056294593,0.0,0.9312394153375863,0.0072168452348734275,0.0"
6,0.9992942351285401,0.004006002686068796,"0.006843647020922796,0.05096191147682075,0.0034298590583804467,0.0,0.9319002346349765,0.006864347808899501,0.0"
7,0.9993494161729495,0.003692788723368896,"0.0,0.046343901259443925,0.0024094843970703726,0.005710925734383259,0.941442184131759,0.0026953580515628817,0.0013981464257806036"
8,0.9991640698476256,0.004744835810332455,"0.0,0.0507941112790757,0.0034383500866041242,0.008719747666190904,0.9320680457749944,0.0034314363369425797,0.001548308856192446"
9,0.9991723165003664,0.00469802685969349,"0.0,0.052453324355875144,0.003422917752648738,0.0,0.9320524016967267,0.010141170862308504,0.0019301853324409958"
10,0.9992481473796553,0.004267602056189306,"0.0,0.04630312457458298,0.003347823139665267,0.005726716614332958,0.9413559664784301,0.0032663691929886193,0.0"
11,0.9992526070360173,0.0042422885331060605,"0.010929518273809715,0.04801814450370073,0.0036210280943190934,0.0,0.9355101019675676,0.0,0.0019212071606029345"
12,0.999335385751259,0.003772427012622968,"0.01258492165262267,0.025914517725260725,0.0024058856017998274,0.0,0.9590946750203168,0.0,0.0"
13,0.9993309279270285,0.003797730136317436,"0.012577679220207708,0.025912336542874267,0.0024159371739830935,0.0,0.959094047062935,0.0,0.0"
14,0.999278096164488,0.004097609304586434,"0.014285280139178468,0.027684662948303292,0.0,0.0,0.9580300569125183,0.0,0.0"
