solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
0,2,0.15846949674791486,-0.4168813936174022,11,2,\frac{y^{0.65} \cdot u^{1.0} \cdot ρ^{0.87} \cdot T_w^{0.14} \cdot c_p^{0.13} \cdot k_rms^{1.81} \cdot ES^{0.07}}{T^{0.21} \cdot μ^{0.67} \cdot κ^{0.2} \cdot R_a^{1.59}},\frac{u^{0.35} \cdot ρ^{0.41} \cdot T_w^{0.04} \cdot κ^{0.1} \cdot k_rms^{1.19} \cdot ES^{0.56}}{y^{0.67} \cdot T^{0.01} \cdot μ^{0.51} \cdot c_p^{0.07} \cdot R_a^{0.11}},,,,,,,,,1
1,2,0.15915605428689883,-0.4184119033635812,11,2,\frac{y^{0.65} \cdot u^{1.0} \cdot ρ^{0.86} \cdot T_w^{0.15} \cdot c_p^{0.13} \cdot k_rms^{1.81} \cdot ES^{0.07}}{T^{0.21} \cdot μ^{0.67} \cdot κ^{0.2} \cdot R_a^{1.59}},\frac{u^{0.35} \cdot ρ^{0.41} \cdot T_w^{0.04} \cdot κ^{0.1} \cdot k_rms^{1.19} \cdot ES^{0.56}}{y^{0.67} \cdot T^{0.01} \cdot μ^{0.51} \cdot c_p^{0.07} \cdot R_a^{0.11}},,,,,,,,,1
2,2,0.1591560542868989,-0.41841190336358125,11,2,\frac{y^{0.65} \cdot u^{1.0} \cdot ρ^{0.86} \cdot T_w^{0.15} \cdot c_p^{0.13} \cdot k_rms^{1.81} \cdot ES^{0.07}}{T^{0.21} \cdot μ^{0.67} \cdot κ^{0.2} \cdot R_a^{1.59}},\frac{u^{0.35} \cdot ρ^{0.41} \cdot T_w^{0.04} \cdot κ^{0.1} \cdot k_rms^{1.19} \cdot ES^{0.56}}{y^{0.67} \cdot T^{0.01} \cdot μ^{0.51} \cdot c_p^{0.07} \cdot R_a^{0.11}},,,,,,,,,1
3,2,0.16485854673654166,-0.420699505270727,11,2,\frac{y^{0.65} \cdot u^{1.01} \cdot ρ^{0.86} \cdot T_w^{0.14} \cdot c_p^{0.11} \cdot k_rms^{1.8} \cdot ES^{0.07}}{T^{0.22} \cdot μ^{0.67} \cdot κ^{0.19} \cdot R_a^{1.6}},\frac{u^{0.35} \cdot ρ^{0.41} \cdot T_w^{0.04} \cdot κ^{0.1} \cdot k_rms^{1.2} \cdot ES^{0.56}}{y^{0.65} \cdot T^{0.01} \cdot μ^{0.51} \cdot c_p^{0.07} \cdot R_a^{0.14}},,,,,,,,,1
4,2,0.17059547156615515,-0.5226992078228303,11,2,\frac{y^{0.71} \cdot u^{1.2} \cdot ρ^{0.98} \cdot T_w^{0.17} \cdot c_p^{0.2} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.28} \cdot μ^{0.67} \cdot κ^{0.31} \cdot R_a^{1.57}},\frac{u^{0.41} \cdot ρ^{0.43} \cdot T_w^{0.03} \cdot κ^{0.05} \cdot k_rms^{1.09} \cdot ES^{0.56}}{y^{0.57} \cdot T^{0.02} \cdot μ^{0.48} \cdot c_p^{0.04} \cdot R_a^{0.08}},,,,,,,,,1
5,2,0.17528172583518395,-0.5255424377471174,11,2,\frac{y^{0.67} \cdot u^{1.03} \cdot ρ^{0.9} \cdot T_w^{0.18} \cdot c_p^{0.1} \cdot k_rms^{1.82} \cdot ES^{0.07}}{T^{0.24} \cdot μ^{0.74} \cdot κ^{0.16} \cdot R_a^{1.58}},\frac{u^{0.33} \cdot ρ^{0.41} \cdot T_w^{0.05} \cdot κ^{0.1} \cdot k_rms^{1.1} \cdot ES^{0.04}}{y^{0.57} \cdot T^{0.01} \cdot μ^{0.51} \cdot c_p^{0.06} \cdot R_a^{0.12}},,,,,,,,,1
6,2,0.18145356632529547,-0.5258065156210915,11,2,\frac{y^{0.65} \cdot u^{1.0} \cdot ρ^{0.85} \cdot T_w^{0.18} \cdot c_p^{0.11} \cdot k_rms^{1.8} \cdot ES^{0.07}}{T^{0.25} \cdot μ^{0.67} \cdot κ^{0.18} \cdot R_a^{1.6}},\frac{u^{0.55} \cdot ρ^{0.48} \cdot T_w^{0.02} \cdot c_p^{0.01} \cdot k_rms^{1.21} \cdot ES^{0.56}}{y^{0.6} \cdot T^{0.06} \cdot μ^{0.43} \cdot κ^{0.05} \cdot R_a^{0.13}},,,,,,,,,1
7,2,0.18660271476232237,-0.5366405950734978,11,2,\frac{y^{0.72} \cdot u^{1.22} \cdot ρ^{0.98} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.3} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.46} \cdot T_w^{0.97} \cdot κ^{0.11} \cdot c_p^{0.01} \cdot k_rms^{1.2} \cdot ES^{0.56}}{y^{0.62} \cdot T^{0.85} \cdot μ^{0.57} \cdot R_a^{0.12}},,,,,,,,,1
8,2,0.18755111039711708,-0.5368527810773008,11,2,\frac{y^{0.72} \cdot u^{1.22} \cdot ρ^{0.98} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.3} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.46} \cdot T_w^{1.01} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.2} \cdot ES^{0.56}}{y^{0.61} \cdot T^{0.88} \cdot μ^{0.57} \cdot R_a^{0.12}},,,,,,,,,1
9,2,0.18755111039711714,-0.536852781077301,11,2,\frac{y^{0.72} \cdot u^{1.22} \cdot ρ^{0.98} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.3} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.46} \cdot T_w^{1.01} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.2} \cdot ES^{0.56}}{y^{0.61} \cdot T^{0.88} \cdot μ^{0.57} \cdot R_a^{0.12}},,,,,,,,,1
