algorithm,dataset,number of dimensions,Best_Individual_MSE,Best_Individual_R2,Feature_Importances,Baseline_MSE,Baseline_R2,analysis_runtime_sec,config_file,method_name,noise_name,x_noise_frac,y_noise_frac,noise_seed
DEA,chf_public.csv,3.0,67772.26641212997,0.8984441123893255,[0.2210121  0.14834235 0.         0.63064555],31957.046348093405,0.985230504434472,75.77405166625977,./configs/CHF/config.json,DEA_run,clean,0.0,0.0,42
DEA,rayleigh_data.csv,2.0,1.994449724318862e-05,0.9997160312205123,[0.01217458 0.98782542],2.3050359639136723e-05,0.9997470829650581,59.079705238342285,./configs/Rayleigh/config.json,DEA_run,clean,0.0,0.0,42
DEA,dataset-GS1-GS10.txt,2.0,0.17074247029370454,0.9810986732376146,[0.98499427 0.01500573],0.03318614533042138,0.9963262674143386,112.62998127937317,./configs/Wall_model/config.json,DEA_run,clean,0.0,0.0,42
DEA,dataset_keyhole.csv,2.0,0.2270776878457475,0.9663728469446191,[0.93137273 0.         0.06862727 0.        ],0.33111908606892415,0.9509657144546882,95.2746651172638,./configs/Keyhole/config.json,DEA_run,clean,0.0,0.0,42
DEA,MHD_Generator_Data_Uavg.csv,1.0,2298512.137792548,0.969860427081461,[1. 0. 0. 0.],15164221.87460761,0.8011569469537033,100.62168169021606,./configs/MHD/config.json,DEA_run,clean,0.0,0.0,42
DEA,mat/inv_transf.mat,2.0,0.05974951229958068,0.9989288412991969,[0.         0.85906733 0.14093267],0.075566789003556,0.9987925316021752,42.59768199920654,./configs/Velocity_transformation/config.json,DEA_run,clean,0.0,0.0,42
PyDimension,chf_public.csv,,841746.9213308552,0.6109722630034413,"[0.07154589362893134, 0.2491512032797206, 0.679302903091348]",31957.046348093405,0.985230504434472,948.2910015583038,./configs/CHF/config.json,PyDimension_run,clean,0.0,0.0,42
PyDimension,rayleigh_data.csv,,1.3927433757689718e-07,0.9999984718306761,[1.0],2.3050359639136723e-05,0.9997470829650581,116.0510687828064,./configs/Rayleigh/config.json,PyDimension_run,clean,0.0,0.0,42
PyDimension,dataset-GS1-GS10.txt,,0.3995498085429866,0.9557695195804019,"[0.02091874993821933, 0.9790812500617807]",0.03318614533042138,0.9963262674143386,211.3363847732544,./configs/Wall_model/config.json,PyDimension_run,clean,0.0,0.0,42
PyDimension,dataset_keyhole.csv,,2.1030352171748334,0.6885687545980589,[1.0],0.33111908606892415,0.9509657144546882,6.032745599746704,./configs/Keyhole/config.json,PyDimension_run,clean,0.0,0.0,42
PyDimension,MHD_Generator_Data_Uavg.csv,,2318909.2156465715,0.9695929674473792,[1.0],15164221.87460761,0.8011569469537033,29.07140040397644,./configs/MHD/config.json,PyDimension_run,clean,0.0,0.0,42
PyDimension,mat/inv_transf.mat,,49.12280678832083,0.2150753314850713,[1.0],0.075566789003556,0.9987925316021752,62.69046688079834,./configs/Velocity_transformation/config.json,PyDimension_run,clean,0.0,0.0,42
TI_PI,chf_public.csv,3.0,2164105.823398016,-0.00017852131435369678,[0. 0. 0.],31957.046348093405,0.985230504434472,310.726407289505,./configs/CHF/config.json,TI_PI_run,clean,0.0,0.0,42
TI_PI,rayleigh_data.csv,1.0,0.09134607337692296,-0.002282758003226526,[0.],2.3050359639136723e-05,0.9997470829650581,38.61437439918518,./configs/Rayleigh/config.json,TI_PI_run,clean,0.0,0.0,42
TI_PI,dataset-GS1-GS10.txt,2.0,14.324117855348236,-0.5856911973988146,[0.50697218 0.49302782],0.03318614533042138,0.9963262674143386,190.98257184028625,./configs/Wall_model/config.json,TI_PI_run,clean,0.0,0.0,42
TI_PI,dataset_keyhole.csv,1.0,5.651122110543196,0.1631447812038217,[1.],0.33111908606892415,0.9509657144546882,11.757798910140991,./configs/Keyhole/config.json,TI_PI_run,clean,0.0,0.0,42
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,100603133.82371087,-0.3191731459052827,[1.],15164221.87460761,0.8011569469537033,39.704487323760986,./configs/MHD/config.json,TI_PI_run,clean,0.0,0.0,42
TI_PI,mat/inv_transf.mat,1.0,34.141506598378875,0.4544588857714812,[1.],0.075566789003556,0.9987925316021752,13.913659811019897,./configs/Velocity_transformation/config.json,TI_PI_run,clean,0.0,0.0,42
DEA,chf_public.csv,3.0,109797.10752263374,0.7799174796646204,[0.17979674 0.18328053 0.         0.63692273],35594.775344915884,0.9835492657585965,71.09804272651672,./configs/CHF/config.json,DEA_run,x_1pct,0.01,0.0,43
DEA,rayleigh_data.csv,1.0,0.0006507071376420349,0.9920460536735811,[1. 0.],9.213902044992832e-05,0.9989890167346854,54.537954330444336,./configs/Rayleigh/config.json,DEA_run,x_1pct,0.01,0.0,43
DEA,dataset-GS1-GS10.txt,2.0,0.14521903481731593,0.9839241377702996,[0.01313579 0.98686421],0.05243806283172409,0.9941950648912132,85.99728226661682,./configs/Wall_model/config.json,DEA_run,x_1pct,0.01,0.0,43
DEA,dataset_keyhole.csv,2.0,0.1744452531974342,0.9741670029992572,[0.06411938 0.93588062 0.         0.        ],1.0490715857667725,0.84464660039786,76.67551159858704,./configs/Keyhole/config.json,DEA_run,x_1pct,0.01,0.0,43
DEA,MHD_Generator_Data_Uavg.csv,2.0,6332741.882297897,0.9169610059492189,[0.         0.98578176 0.01421824 0.        ],15192249.791306488,0.8007894268413616,74.30396056175232,./configs/MHD/config.json,DEA_run,x_1pct,0.01,0.0,43
DEA,mat/inv_transf.mat,2.0,8.184452795217714,0.8940021709538443,[0.34140547 0.         0.65859453],0.9357334053377458,0.9850480809012383,40.034247159957886,./configs/Velocity_transformation/config.json,DEA_run,x_1pct,0.01,0.0,43
PyDimension,chf_public.csv,,950481.9355420566,0.5607185163737634,"[0.1468513362027606, 0.11480856608342489, 0.7383400977138145]",35594.775344915884,0.9835492657585965,867.0598573684692,./configs/CHF/config.json,PyDimension_run,x_1pct,0.01,0.0,43
PyDimension,rayleigh_data.csv,,2.3849811562590742e-05,0.9997383110841319,[1.0],9.213902044992832e-05,0.9989890167346854,103.90395259857178,./configs/Rayleigh/config.json,PyDimension_run,x_1pct,0.01,0.0,43
PyDimension,dataset-GS1-GS10.txt,,0.1391066724174735,0.9846007811315606,"[0.010704549900729962, 0.98929545009927]",0.05243806283172409,0.9941950648912132,204.08940076828003,./configs/Wall_model/config.json,PyDimension_run,x_1pct,0.01,0.0,43
PyDimension,dataset_keyhole.csv,,2.163897142026807,0.6795559216700053,[1.0],1.0490715857667725,0.84464660039786,5.866506338119507,./configs/Keyhole/config.json,PyDimension_run,x_1pct,0.01,0.0,43
PyDimension,MHD_Generator_Data_Uavg.csv,,2371521.6369529148,0.9689030794618817,[1.0],15192249.791306488,0.8007894268413616,26.082703828811646,./configs/MHD/config.json,PyDimension_run,x_1pct,0.01,0.0,43
PyDimension,mat/inv_transf.mat,,26.736345089288694,0.5727846558739353,[1.0],0.9357334053377458,0.9850480809012383,61.813308000564575,./configs/Velocity_transformation/config.json,PyDimension_run,x_1pct,0.01,0.0,43
TI_PI,chf_public.csv,3.0,2164105.823398016,-0.00017852131435369678,[0. 0. 0.],35594.775344915884,0.9835492657585965,182.6102430820465,./configs/CHF/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,rayleigh_data.csv,1.0,0.04470540935791448,0.509475784426727,[1.],9.213902044992832e-05,0.9989890167346854,27.18041205406189,./configs/Rayleigh/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,dataset-GS1-GS10.txt,2.0,12.061243912048145,-0.33518925871402816,[0.50219013 0.49780987],0.05243806283172409,0.9941950648912132,176.31057953834534,./configs/Wall_model/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,dataset_keyhole.csv,1.0,6.251995798769848,0.07416346528222217,[1.],1.0490715857667725,0.84464660039786,12.670214176177979,./configs/Keyhole/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,98956638.29317558,-0.2975832350726708,[1.],15192249.791306488,0.8007894268413616,51.01113176345825,./configs/MHD/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,mat/inv_transf.mat,1.0,38.70306625555613,0.38157052828714855,[1.],0.9357334053377458,0.9850480809012383,22.01419949531555,./configs/Velocity_transformation/config.json,TI_PI_run,x_1pct,0.01,0.0,43
DEA,chf_public.csv,1.0,358190.58479455113,0.7091529621627366,[0. 0. 0. 1.],54729.76640318316,0.9747057023546726,62.263484954833984,./configs/CHF/config.json,DEA_run,x_5pct,0.05,0.0,44
DEA,rayleigh_data.csv,1.0,0.001599158309619531,0.9807761294818889,[1. 0.],0.000734876913444659,0.9919366598653786,33.99908471107483,./configs/Rayleigh/config.json,DEA_run,x_5pct,0.05,0.0,44
